0,10,0
1,7,8
4,3,5
15,11,8
13,8,3
0,10,4
1,7,0
12,11,8
13,10,3
1,7,1
12,11,9
13,10,1
5,7,1
12,11,5
5,3,1
12,3,5
0,2,4
13,2,1
5,3,5
13,2,5
1,3,5
0,3,5
12,3,4
1,3,4
9,2,5
1,2,4
13,3,4
9,2,4
9,3,4
0,3,4
6,8,4
6,1,3
11,5,3
0,7,2
6,1,0
11,5,7
0,3,2
0,8,4
11,7,7
1,3,2
1,0,4
6,3,0
9,7,7
6,3,4
9,7,5
5,7,5
2,2,4
6,2,4
2,3,4
9,6,5
11,1,2
12,5,5
2,8,1
10,6,5
10,1,2
6,8,1
6,6,5
12,7,5
6,8,5
10,3,2
6,0,5
6,7,5
10,3,0
14,3,5
6,3,5
6,1,5
6,1,4
10,3,4
5,11,8
8,5,8
14,10,5
7,6,4
14,10,1
10,1,1
9,10,8
5,4,6
8,2,8
5,2,6
10,3,1
7,2,6
14,11,1
6,2,6
14,3,1
6,3,6
6,3,1
9,7,1
13,0,2
5,4,8
14,2,6
9,3,1
5,2,8
9,3,5
13,2,2
5,3,4
10,3,5
12,2,2
12,2,6
7,3,4
14,3,6
7,3,7
13,9,7
5,11,9
8,4,2
14,9,7
8,0,2
6,3,7
14,1,7
8,0,6
14,1,4
4,0,6
14,3,4
4,1,6
4,1,4
3,8,8
1,4,4
13,8,4
7,5,5
3,0,8
13,11,4
7,1,5
3,3,8
7,3,5
3,3,4
1,5,4
15,3,4
12,8,5
0,3,8
14,0,7
9,0,1
0,3,0
5,0,1
14,8,5
14,3,7
5,2,1
14,0,5
7,2,1
6,2,1
6,2,5
4,3,0
14,0,4
6,0,4
4,3,4
0,11,8
4,1,5
1,3,9
9,10,1
1,3,8
9,10,5
2,11,4
9,11,5
9,11,4
10,11,4
6,11,6
1,7,2
9,10,6
1,8,4
6,11,4
15,10,6
7,10,6
5,8,4
1,3,0
5,10,4
5,11,4
7,11,4
2,11,3
0,10,7
13,1,0
12,2,5
4,10,7
14,1,0
2,11,5
4,10,5
11,1,6
5,0,0
1,8,6
10,9,9
11,1,4
4,0,0
10,9,1
1,9,4
10,9,0
10,1,4
6,0,0
1,11,4
14,9,0
14,9,4
3,10,7
13,5,0
0,6,3
5,9,2
7,10,7
0,6,0
5,11,2
7,2,7
13,5,4
6,6,0
5,11,0
12,5,4
6,6,4
6,2,7
12,1,4
8,3,8
14,7,4
9,8,2
8,3,4
5,8,2
5,8,0
7,8,0
7,9,0
7,9,4
6,9,4
1,4,1
12,1,3
9,4,8
0,6,7
1,2,1
4,1,3
9,7,8
4,6,7
1,2,0
4,3,3
8,7,8
4,7,7
13,11,2
6,10,4
3,8,1
3,10,1
3,11,1
5,11,5
2,11,1
2,11,0
2,3,0
3,5,7
6,4,0
8,1,1
3,5,5
6,7,0
8,3,1
3,3,5
4,3,1
2,3,5
7,6,0
4,6,9
4,7,3
4,5,2
7,7,0
4,2,9
7,3,0
4,3,9
4,7,0
4,5,4
4,3,8
6,3,8
6,5,4
4,7,4
6,7,4
0,5,3
7,3,9
2,8,6
5,4,0
2,5,3
2,8,4
2,5,5
6,3,9
6,4,4
14,6,6
15,5,6
14,6,4
15,3,6
1,1,4
5,1,4
14,2,4
7,1,4
3,8,5
15,6,7
15,7,7
15,3,7
15,3,5
0,1,5
11,1,8
13,4,2
11,3,8
15,4,2
