Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 05:00:00,997.8,1002.6,998.4,997.8,2.6,4.0,180,159,1.3,185,34.7,34.8,34.2,63,61,0.0,2,45.6
58016,2022-08-08 05:00:00,999.0,1003.0,999.4,999.0,3.1,5.8,205,207,2.3,248,37.0,37.1,36.2,53,51,0.0,2,47.36
58102,2022-08-08 05:00:00,998.4,1002.8,998.7,998.4,3.3,5.1,174,159,1.8,209,36.0,36.1,35.3,57,56,0.0,2,46.53
58107,2022-08-08 05:00:00,998.2,1002.4,998.6,998.2,5.0,7.7,194,209,3.2,200,36.1,36.3,35.6,58,55,0.0,3,47.36
58108,2022-08-08 05:00:00,998.1,1002.6,998.5,998.1,4.3,6.9,225,209,3.3,210,36.0,36.2,35.3,59,55,0.0,3,47.59
58109,2022-08-08 05:00:00,998.6,1002.2,999.0,998.6,4.6,7.0,197,240,4.2,199,36.0,36.2,35.6,57,54,0.0,3,46.53
58112,2022-08-08 05:00:00,902.3,1005.9,902.5,902.3,2.8,5.7,93,240,1.9,145,28.4,29.6,27.6,77,74,0.0,2,32.6
58113,2022-08-08 05:00:00,999.5,1003.2,999.9,999.5,4.1,6.6,186,224,3.8,191,36.4,36.5,35.5,56,53,0.0,3,47.2
58114,2022-08-08 05:00:00,999.1,1002.7,999.5,999.1,3.1,6.0,231,239,2.8,193,36.7,36.9,36.2,49,49,0.0,2,44.48
58116,2022-08-08 05:00:00,999.2,1003.0,999.6,999.2,3.5,5.9,214,180,2.6,184,36.3,36.3,35.6,60,55,0.0,2,49.11
58117,2022-08-08 05:00:00,999.7,1002.9,1000.1,999.7,3.4,6.1,214,222,2.2,193,37.4,37.5,36.8,51,51,0.0,2,47.43
58118,2022-08-08 05:00:00,1000.0,1003.1,1000.6,1000.0,4.4,7.7,208,181,4.5,196,36.6,36.6,36.1,58,56,0.0,3,48.93
58122,2022-08-08 05:00:00,1000.1,1003.1,1000.8,1000.1,4.3,6.9,183,187,4.2,193,36.4,36.6,35.9,60,55,0.0,3,49.43
58125,2022-08-08 05:00:00,1000.9,1003.6,1001.5,1000.9,3.8,6.1,228,223,2.5,234,37.3,37.6,36.5,54,51,0.0,2,48.82
58126,2022-08-08 05:00:00,1001.6,1004.0,1002.0,1001.5,3.7,6.6,203,224,3.0,210,37.1,37.5,35.7,51,49,0.0,2,46.57
58127,2022-08-08 05:00:00,1000.8,1003.7,1001.2,1000.8,4.4,6.0,194,203,3.8,202,36.4,36.4,35.6,57,55,0.0,2,47.75
58128,2022-08-08 05:00:00,1001.1,1003.6,1001.6,1001.1,3.6,6.3,267,183,2.2,205,37.5,37.5,36.8,52,49,0.0,2,48.27
58129,2022-08-08 05:00:00,1002.2,1004.0,1002.4,1002.2,3.0,5.3,262,225,2.5,256,36.4,36.8,35.9,54,49,0.0,2,46.15
58202,2022-08-08 05:00:00,998.8,1002.7,999.3,998.8,5.2,8.8,214,205,3.2,193,36.3,36.7,36.1,54,50,0.0,3,45.86
58203,2022-08-08 05:00:00,999.2,1002.8,999.8,999.1,4.7,7.5,180,212,3.4,157,37.4,37.4,37.0,48,48,0.0,3,45.83
58210,2022-08-08 05:00:00,1000.2,1003.3,1000.6,1000.1,4.6,7.7,191,221,3.9,204,37.3,37.4,36.6,51,51,0.0,3,47.14
58212,2022-08-08 05:00:00,1000.8,1003.5,1001.2,1000.8,3.9,6.3,248,149,1.8,203,37.5,37.7,36.8,48,45,0.0,2,46.1
58214,2022-08-08 05:00:00,1000.2,1003.5,1000.6,1000.2,3.6,5.4,146,178,3.1,158,36.1,36.2,35.6,58,55,0.0,2,47.36
58215,2022-08-08 05:00:00,1000.9,1003.8,1001.2,1000.9,3.0,4.3,203,181,2.5,214,36.2,36.4,35.8,61,55,0.0,2,49.35
58220,2022-08-08 05:00:00,998.7,1003.8,999.1,998.7,3.4,5.6,245,236,3.8,233,37.5,38.1,36.4,44,43,0.0,3,44.11
58221,2022-08-08 05:00:00,1000.8,1003.9,1001.1,1000.8,3.5,5.4,250,237,2.1,237,36.6,36.7,35.9,57,54,0.0,2,48.36
58222,2022-08-08 05:00:00,1001.1,1004.0,1001.3,1001.1,2.9,4.9,248,217,1.4,273,37.4,37.6,36.7,50,47,0.0,2,46.88
58223,2022-08-08 05:00:00,1000.0,1003.9,1000.4,1000.0,3.8,7.6,245,198,2.4,210,36.9,37.2,36.5,52,50,0.0,2,46.54
58224,2022-08-08 05:00:00,995.7,1003.7,996.0,995.7,3.3,5.4,158,183,3.6,180,37.4,37.4,36.9,45,41,0.0,2,44.34
58225,2022-08-08 05:00:00,996.0,1004.0,996.4,996.0,3.6,6.8,169,155,3.9,167,36.5,36.8,35.7,53,51,0.0,3,45.92
58234,2022-08-08 05:00:00,999.3,1003.9,999.6,999.3,4.0,7.2,214,235,4.2,214,37.8,37.9,37.1,47,45,0.0,3,46.38
58236,2022-08-08 05:00:00,1000.3,1004.2,1000.7,1000.3,4.7,7.7,186,154,3.1,167,38.2,38.3,37.2,47,45,0.0,3,47.46
58240,2022-08-08 05:00:00,1003.1,1004.4,1003.5,1003.1,4.7,6.6,203,210,3.3,197,36.8,36.9,36.0,54,52,0.0,2,47.32
58306,2022-08-08 05:00:00,992.4,1003.1,993.0,992.4,3.6,6.3,228,266,1.8,216,37.6,37.6,36.8,47,44,0.0,2,45.85
58311,2022-08-08 05:00:00,994.9,1003.2,995.5,994.9,2.5,5.0,273,215,2.4,264,38.7,38.7,37.4,42,42,0.0,2,46.08
58314,2022-08-08 05:00:00,993.3,1003.0,993.7,993.3,2.4,4.4,323,343,2.8,320,38.3,39.3,37.4,41,40,0.0,2,44.59
58316,2022-08-08 05:00:00,1000.8,1003.6,1001.0,1000.8,3.5,5.7,113,125,3.0,143,37.6,38.4,37.2,50,48,0.0,3,47.45
58317,2022-08-08 05:00:00,957.0,1005.0,957.4,957.0,4.0,7.7,138,184,3.0,164,33.9,34.3,33.1,56,56,0.0,3,40.31
58319,2022-08-08 05:00:00,995.1,1004.8,995.6,995.1,5.4,9.6,180,203,3.5,194,34.2,34.4,33.7,60,58,0.0,3,42.73
58320,2022-08-08 05:00:00,1000.9,1004.0,1001.2,1000.9,4.9,7.0,135,131,4.2,140,36.8,37.0,36.1,56,54,0.0,3,48.42
58321,2022-08-08 05:00:00,997.3,1003.0,997.8,997.3,3.1,7.4,183,84,1.9,186,38.0,38.3,37.9,45,43,0.0,2,45.86
58323,2022-08-08 05:00:00,1002.1,1004.2,1002.4,1002.1,6.4,9.4,169,187,4.9,183,36.6,36.7,35.6,52,52,0.0,4,45.69
58326,2022-08-08 05:00:00,1000.9,1004.5,1001.3,1000.9,3.2,6.3,188,189,3.1,201,37.2,37.4,36.0,49,47,0.0,2,45.81
58327,2022-08-08 05:00:00,999.3,1004.5,999.9,999.3,7.1,12.0,203,201,7.2,180,35.8,36.0,34.8,53,53,0.0,4,43.99
58329,2022-08-08 05:00:00,1003.6,1004.8,1004.2,1003.6,4.7,6.9,205,173,2.7,196,35.9,35.9,35.0,55,55,0.0,3,45.23
58330,2022-08-08 05:00:00,1001.3,1004.4,1001.7,1001.3,3.7,6.7,228,271,2.7,244,37.6,38.0,36.7,48,45,0.0,2,46.37
58331,2022-08-08 05:00:00,1002.3,1004.7,1002.7,1002.2,5.5,10.1,222,215,5.1,215,37.5,37.9,36.3,44,43,0.0,3,44.11
58334,2022-08-08 05:00:00,1003.5,1004.8,1004.0,1003.5,3.3,6.2,217,156,2.0,210,36.9,37.5,36.5,53,50,0.0,2,47.07
58335,2022-08-08 05:00:00,998.1,1004.9,998.5,998.0,3.1,5.5,214,172,2.2,231,38.3,38.3,36.4,48,47,0.0,2,48.31
58336,2022-08-08 05:00:00,995.9,1004.7,996.4,995.9,3.3,7.1,222,279,2.6,259,40.0,40.1,38.4,41,41,0.0,2,48.85
58337,2022-08-08 05:00:00,997.6,1004.5,998.2,997.6,2.7,3.9,315,286,0.6,291,37.7,38.1,36.7,45,44,0.0,1,45.09
58338,2022-08-08 05:00:00,1000.0,1004.6,1000.7,1000.0,4.4,8.1,233,241,2.4,263,37.9,37.9,36.9,44,44,0.0,2,45.1
58417,2022-08-08 05:00:00,993.2,1005.5,993.8,993.2,5.4,8.1,177,139,3.4,178,33.3,33.3,32.0,64,64,0.0,3,41.86
58429,2022-08-08 05:00:00,1003.5,1004.9,1004.1,1003.5,4.2,6.6,248,237,3.6,249,37.1,37.3,36.2,49,47,0.0,3,45.54
58431,2022-08-08 05:00:00,1000.0,1004.6,1000.6,1000.0,2.7,5.3,287,222,2.0,283,38.2,38.3,37.1,43,42,0.0,2,45.34
58432,2022-08-08 05:00:00,998.0,1004.0,998.7,998.0,2.7,5.7,315,247,2.5,249,38.5,38.7,36.9,41,41,0.0,2,45.07
58433,2022-08-08 05:00:00,1001.1,1004.7,1001.6,1001.1,2.9,6.0,70,126,2.1,93,38.5,38.9,37.5,45,45,0.0,2,47.17
58435,2022-08-08 05:00:00,981.0,1005.2,981.7,980.9,4.2,7.3,188,204,3.7,185,36.6,36.8,35.5,44,44,0.0,2,41.97
58436,2022-08-08 05:00:00,994.9,1004.8,995.4,994.9,2.4,5.2,129,135,2.0,88,37.8,38.2,36.8,43,41,0.0,2,44.36
58437,2022-08-08 05:00:00,817.2,1009.7,817.4,817.2,2.5,3.8,104,87,2.1,66,21.1,21.7,20.7,83,83,0.0,2,21.43
58441,2022-08-08 05:00:00,999.6,1005.4,1000.0,999.5,1.7,3.3,107,214,0.5,105,36.3,37.3,36.2,48,45,0.0,1,42.99
58442,2022-08-08 05:00:00,1003.0,1005.0,1003.4,1003.0,2.4,3.4,267,256,1.8,276,36.6,36.8,35.9,55,52,0.0,2,47.26
58520,2022-08-08 05:00:00,984.6,1006.1,985.1,984.6,2.7,5.2,200,179,1.4,205,34.7,34.9,34.1,53,53,0.0,2,41.14
58523,2022-08-08 05:00:00,980.5,1006.0,981.0,980.5,2.7,4.8,304,318,2.0,276,34.6,34.6,33.6,56,54,0.0,2,42.12
58530,2022-08-08 05:00:00,986.5,1005.5,987.0,986.4,2.1,4.1,293,301,0.6,280,35.3,36.2,34.7,48,47,0.0,1,40.6
58531,2022-08-08 05:00:00,989.1,1005.1,989.8,989.1,2.4,4.1,98,321,0.8,95,36.4,37.2,35.8,46,43,0.0,2,42.36
58534,2022-08-08 05:00:00,986.3,1005.4,986.9,986.3,2.5,5.1,259,279,2.0,260,36.3,36.4,34.7,47,45,0.0,2,42.55
58724,2022-08-08 05:00:00,976.7,1006.9,977.6,976.7,3.5,5.3,98,25,2.5,130,33.2,33.4,32.2,54,53,0.0,2,37.94
58725,2022-08-08 05:00:00,982.6,1007.3,983.6,982.6,2.3,4.3,71,274,1.1,87,32.4,32.4,30.9,58,57,0.0,1,37.39
58730,2022-08-08 05:00:00,982.3,1007.4,983.1,982.3,2.9,5.5,198,156,1.9,247,34.1,34.1,32.8,45,45,0.0,2,37.0
