Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 10:00:00,997.4,1002.2,997.4,997.1,1.4,2.2,203,204,1.7,173,34.1,34.7,34.1,69,64,0.0,1,46.62
58016,2022-08-08 10:00:00,998.4,1002.4,998.4,998.1,3.0,3.7,188,163,1.5,180,34.6,35.2,34.5,65,62,0.0,2,46.27
58102,2022-08-08 10:00:00,998.0,1002.5,998.0,997.6,2.2,3.4,219,252,2.0,200,35.5,35.8,35.4,59,58,0.0,2,46.06
58107,2022-08-08 10:00:00,997.7,1001.9,997.7,997.3,2.0,2.6,169,221,0.6,181,35.0,35.4,34.9,64,58,0.0,1,47.06
58108,2022-08-08 10:00:00,997.8,1002.3,997.8,997.4,2.0,4.1,138,146,1.3,174,34.5,35.2,34.5,64,58,0.0,1,45.46
58109,2022-08-08 10:00:00,998.1,1001.7,998.1,997.6,1.5,2.1,197,194,1.2,236,35.0,35.4,34.9,63,60,0.0,1,46.54
58112,2022-08-08 10:00:00,901.2,1005.1,901.3,901.1,2.3,4.1,118,236,1.7,191,27.0,28.4,26.9,77,72,0.0,1,29.46
58113,2022-08-08 10:00:00,998.8,1002.5,998.8,998.6,2.5,4.3,163,144,2.1,152,33.7,34.4,33.7,70,67,0.0,2,45.76
58114,2022-08-08 10:00:00,998.8,1002.4,998.8,998.3,2.3,4.8,186,150,2.2,149,35.3,36.0,35.3,58,50,0.0,2,44.97
58116,2022-08-08 10:00:00,998.6,1002.4,998.6,998.4,2.7,3.2,172,173,1.4,169,34.4,35.2,34.4,69,64,0.0,1,47.65
58117,2022-08-08 10:00:00,999.0,1002.3,999.0,998.7,1.7,3.4,143,133,1.2,145,34.7,35.7,34.7,64,60,0.0,1,46.09
58118,2022-08-08 10:00:00,999.4,1002.6,999.4,999.1,2.7,4.0,188,179,1.9,181,34.4,35.5,34.4,65,57,0.0,2,45.63
58122,2022-08-08 10:00:00,999.5,1002.5,999.5,999.1,2.8,3.9,158,168,1.4,158,34.3,35.2,34.3,69,65,0.0,2,47.3
58125,2022-08-08 10:00:00,1000.1,1002.8,1000.1,999.7,2.7,3.8,166,156,1.9,174,34.6,35.6,34.5,69,60,0.0,2,48.35
58126,2022-08-08 10:00:00,1000.8,1003.3,1000.8,1000.1,2.5,5.4,98,166,1.1,122,34.4,36.4,34.4,66,54,0.0,1,46.12
