Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 23:00:00,999.0,1003.9,999.0,998.8,2.7,4.7,326,330,2.4,335,27.8,28.8,27.8,99,99,0.0,2,35.42
58016,2022-08-08 23:00:00,999.6,1003.6,999.7,999.4,2.5,4.5,200,220,1.5,189,30.8,30.8,29.8,77,77,0.0,1,39.22
58102,2022-08-08 23:00:00,999.0,1003.5,999.3,999.0,1.0,1.3,180,999017,0.2,182,30.4,30.4,29.7,84,84,0.0,1,40.2
58107,2022-08-08 23:00:00,999.2,1003.4,999.2,999.0,1.9,2.9,211,217,1.8,216,30.1,30.1,29.3,75,75,0.0,2,36.57
58108,2022-08-08 23:00:00,999.0,1003.5,999.1,998.9,2.0,2.8,191,235,1.2,209,29.6,29.6,29.1,81,79,0.0,1,36.72
58109,2022-08-08 23:00:00,999.5,1003.1,999.5,999.2,2.0,3.1,259,264,2.5,274,31.3,31.3,29.6,72,72,0.0,2,39.07
58112,2022-08-08 23:00:00,902.5,1006.7,902.5,902.2,3.9,5.8,236,265,2.2,258,24.3,24.3,23.9,85,84,0.0,2,25.01
58113,2022-08-08 23:00:00,1000.0,1003.7,1000.1,999.9,1.7,1.9,180,163,1.3,158,29.7,29.7,28.9,85,84,0.0,1,38.13
58114,2022-08-08 23:00:00,999.8,1003.4,1000.0,999.8,1.9,3.2,203,211,1.5,200,31.2,31.2,30.7,75,75,0.0,1,39.78
58116,2022-08-08 23:00:00,999.8,1003.6,1000.0,999.7,2.1,3.5,191,180,1.8,195,30.3,30.3,29.6,86,86,0.0,2,40.51
58117,2022-08-08 23:00:00,1000.4,1003.7,1000.4,1000.3,1.4,2.0,169,173,1.1,160,29.9,29.9,28.3,86,85,0.0,1,39.11
58118,2022-08-08 23:00:00,1000.7,1003.9,1000.8,1000.6,1.8,2.7,200,165,1.4,189,29.4,29.4,28.5,86,86,0.0,2,37.43
58122,2022-08-08 23:00:00,1000.8,1003.8,1001.0,1000.7,1.7,2.2,160,138,1.2,167,29.5,29.5,27.9,87,86,0.0,1,38.05
58125,2022-08-08 23:00:00,1001.4,1004.1,1001.5,1001.3,2.4,3.8,197,191,2.4,190,29.8,29.8,29.4,81,81,0.0,2,37.33
58126,2022-08-08 23:00:00,1001.9,1004.4,1002.0,1001.8,0.9,1.9,174,189,1.0,180,30.0,30.0,28.4,82,82,0.0,1,38.24
58127,2022-08-08 23:00:00,1001.1,1004.0,1001.2,1000.9,2.7,3.5,186,176,2.3,185,30.0,30.0,28.8,80,80,0.0,2,37.67
58128,2022-08-08 23:00:00,1001.6,1004.1,1001.7,1001.4,1.3,2.0,129,115,0.9,140,29.2,29.2,27.9,87,86,0.0,1,37.05
58129,2022-08-08 23:00:00,1002.6,1004.4,1002.6,1002.3,1.3,2.3,203,180,0.8,167,29.4,29.4,28.3,83,83,0.0,1,36.62
58202,2022-08-08 23:00:00,999.7,1003.7,999.8,999.4,1.7,2.8,217,225,1.9,220,31.0,31.0,29.7,73,73,0.0,1,38.53
58203,2022-08-08 23:00:00,1000.2,1003.8,1000.2,999.9,1.8,2.5,188,147,1.6,175,31.4,31.4,30.2,73,73,0.0,2,39.7
58210,2022-08-08 23:00:00,1000.8,1003.9,1000.9,1000.6,2.4,3.2,157,179,1.4,158,30.2,30.2,27.9,92,91,0.0,2,42.23
58212,2022-08-08 23:00:00,1001.3,1004.0,1001.4,1001.1,2.1,3.6,172,190,2.6,185,31.3,31.3,30.2,69,69,0.0,2,38.1
58214,2022-08-08 23:00:00,1000.9,1004.2,1000.9,1000.6,2.6,4.3,141,170,2.0,150,29.7,29.7,29.0,83,81,0.0,2,37.57
58215,2022-08-08 23:00:00,1001.5,1004.4,1001.6,1001.3,2.7,4.1,197,183,3.0,182,29.7,29.7,27.4,78,78,0.0,2,36.24
58220,2022-08-08 23:00:00,999.4,1004.6,999.5,999.2,2.0,3.2,208,185,1.8,196,30.2,30.3,28.4,73,73,0.0,1,36.31
58221,2022-08-08 23:00:00,1001.2,1004.3,1001.2,1000.9,2.6,3.8,259,125,2.3,133,29.6,29.6,28.4,80,80,0.0,2,36.46
58222,2022-08-08 23:00:00,1001.5,1004.4,1001.6,1001.3,1.2,1.6,146,156,0.7,151,29.6,29.6,27.3,81,81,0.0,1,36.72
58223,2022-08-08 23:00:00,1000.5,1004.4,1000.5,1000.3,4.0,5.9,186,197,3.0,185,30.9,30.9,30.2,68,68,0.0,3,36.75
58224,2022-08-08 23:00:00,996.3,1004.4,996.4,996.1,2.4,3.7,228,189,1.7,196,30.0,30.0,28.7,70,68,0.0,2,35.04
58225,2022-08-08 23:00:00,996.6,1004.6,996.6,996.3,3.4,5.5,174,192,3.0,175,30.1,30.1,29.7,74,74,0.0,2,36.31
58234,2022-08-08 23:00:00,1000.2,1004.9,1000.2,999.9,1.2,1.6,357,85,0.9,24,29.4,29.4,28.9,82,82,0.0,1,36.37
