Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 01:00:00,997.9,1002.7,998.0,997.5,3.6,5.1,177,198,2.9,191,31.7,31.8,31.2,70,69,0.0,2,39.54
58016,2022-08-08 01:00:00,999.2,1003.2,999.3,999.0,3.4,6.3,188,189,4.0,190,33.8,34.1,32.4,62,62,0.0,2,42.46
58102,2022-08-08 01:00:00,998.7,1003.2,998.7,998.3,3.3,5.8,166,188,2.8,186,33.2,33.3,31.4,65,64,0.0,2,41.98
58107,2022-08-08 01:00:00,998.6,1002.8,998.7,998.4,3.3,5.8,200,191,3.0,195,33.1,33.1,31.7,65,64,0.0,2,41.69
58108,2022-08-08 01:00:00,998.4,1002.9,998.5,998.3,3.9,6.2,205,198,3.4,198,33.1,33.1,31.9,65,63,0.0,3,41.69
58109,2022-08-08 01:00:00,998.9,1002.5,998.9,998.7,4.0,6.3,239,208,3.7,215,33.3,33.3,31.9,64,63,0.0,3,41.86
58112,2022-08-08 01:00:00,902.4,1006.3,902.5,902.3,4.5,7.7,264,247,4.1,254,25.9,25.9,25.0,81,80,0.0,3,26.66
58113,2022-08-08 01:00:00,999.8,1003.5,999.8,999.3,3.7,5.3,169,183,3.4,162,33.1,33.1,32.0,67,66,0.0,3,42.51
58114,2022-08-08 01:00:00,999.6,1003.2,999.6,999.3,2.5,5.3,174,189,2.4,168,34.0,34.1,32.8,58,57,0.0,2,41.35
58116,2022-08-08 01:00:00,999.5,1003.3,999.6,999.2,3.4,5.6,177,179,3.6,178,33.9,33.9,32.3,63,63,0.0,2,43.18
58117,2022-08-08 01:00:00,1000.1,1003.4,1000.1,999.8,2.9,5.7,208,184,2.6,180,34.4,34.4,32.7,63,61,0.0,2,44.67
58118,2022-08-08 01:00:00,1000.6,1003.7,1000.6,1000.2,3.8,5.8,177,185,3.6,182,33.8,33.8,32.2,67,66,0.0,3,44.67
58122,2022-08-08 01:00:00,1000.5,1003.5,1000.7,1000.4,3.1,4.7,177,165,2.3,175,33.5,33.5,31.6,72,70,0.0,2,46.04
58125,2022-08-08 01:00:00,1001.3,1004.0,1001.3,1001.1,3.9,5.6,177,187,3.0,186,33.3,33.3,31.3,71,70,0.0,2,44.89
58126,2022-08-08 01:00:00,1002.0,1004.5,1002.0,1001.7,2.8,4.6,177,205,2.6,203,32.9,32.9,31.9,70,70,0.0,2,43.15
58127,2022-08-08 01:00:00,1001.3,1004.2,1001.3,1001.1,3.0,4.3,172,167,3.4,172,31.2,31.2,29.6,80,79,0.0,2,41.55
58128,2022-08-08 01:00:00,1001.6,1004.1,1001.6,1001.4,2.9,4.9,197,203,2.1,184,33.3,33.3,31.3,70,68,0.0,2,44.44
58129,2022-08-08 01:00:00,1002.5,1004.3,1002.6,1002.4,2.6,5.2,191,177,2.2,177,32.2,32.2,30.9,75,74,0.0,2,42.97
58202,2022-08-08 01:00:00,999.1,1003.0,999.1,999.0,4.5,7.6,200,190,5.0,200,33.9,33.9,33.0,58,57,0.0,3,41.09
58203,2022-08-08 01:00:00,999.7,1003.3,999.7,999.5,4.7,6.3,138,165,4.5,160,34.2,34.3,32.7,59,59,0.0,2,42.31
58210,2022-08-08 01:00:00,1000.6,1003.7,1000.6,1000.4,5.0,6.9,174,186,3.9,181,34.1,34.1,32.7,64,63,0.0,3,44.22
58212,2022-08-08 01:00:00,1001.3,1004.0,1001.3,1001.1,3.7,5.8,180,185,4.5,183,34.4,34.4,32.2,59,59,0.0,3,42.86
58214,2022-08-08 01:00:00,1000.7,1004.0,1000.7,1000.6,3.7,6.1,169,168,2.8,172,33.2,33.2,32.2,69,68,0.0,2,43.67
58215,2022-08-08 01:00:00,1001.5,1004.4,1001.5,1001.4,2.9,4.0,160,152,1.8,175,32.6,32.6,31.7,78,73,0.0,2,45.67
58220,2022-08-08 01:00:00,999.4,1004.6,999.4,999.3,2.4,4.3,211,216,2.2,213,33.3,33.3,31.7,69,69,0.0,2,43.99
58221,2022-08-08 01:00:00,1001.3,1004.4,1001.4,1001.0,3.4,4.6,93,103,3.4,131,32.5,32.5,31.2,73,73,0.0,2,43.13
58222,2022-08-08 01:00:00,1001.6,1004.5,1001.6,1001.4,2.2,3.4,225,196,2.5,197,32.5,32.6,31.0,71,70,0.0,2,42.31
58223,2022-08-08 01:00:00,1000.6,1004.5,1000.7,1000.5,5.0,8.2,197,190,4.7,186,33.6,33.7,32.4,66,64,0.0,3,43.6
58224,2022-08-08 01:00:00,996.3,1004.3,996.4,996.1,2.9,4.5,214,193,2.0,187,33.0,33.0,30.8,65,65,0.0,2,41.4
58225,2022-08-08 01:00:00,996.6,1004.6,996.7,996.5,4.0,6.2,188,182,2.8,182,33.4,33.4,31.9,67,67,0.0,2,43.42
58234,2022-08-08 01:00:00,1000.1,1004.7,1000.2,1000.0,3.3,6.3,222,217,3.7,226,34.3,34.3,32.8,59,59,0.0,2,42.58
58236,2022-08-08 01:00:00,1001.0,1004.9,1001.1,1000.9,3.0,4.3,225,163,2.1,189,34.5,34.5,32.3,63,62,0.0,2,44.98
58240,2022-08-08 01:00:00,1003.6,1004.9,1003.9,1003.5,3.6,6.4,214,208,3.9,208,34.2,34.2,33.3,61,61,0.0,3,43.17
58306,2022-08-08 01:00:00,993.4,1004.2,993.4,993.2,2.3,4.6,228,241,2.8,140,33.5,33.6,32.0,59,59,0.0,2,40.44
58311,2022-08-08 01:00:00,996.0,1004.4,996.0,995.9,2.5,4.7,155,207,3.2,175,34.9,35.4,33.8,55,54,0.0,2,42.48
58314,2022-08-08 01:00:00,994.5,1004.2,994.8,994.5,1.8,3.4,93,83,2.1,92,35.3,35.3,33.1,54,53,0.0,2,43.11
