Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 21:00:00,998.1,1003.0,998.1,997.8,1.8,2.7,357,13,1.5,305,29.1,30.2,29.1,99,99,0.0,2,40.28
58016,2022-08-08 21:00:00,999.1,1003.1,999.1,998.8,0.9,1.3,242,242,0.6,152,29.3,29.6,29.1,86,85,0.0,1,37.1
58102,2022-08-08 21:00:00,998.8,1003.3,998.8,998.5,1.7,2.7,211,187,0.9,179,30.0,30.6,30.0,83,79,0.0,1,38.54
58107,2022-08-08 21:00:00,998.8,1003.0,998.9,998.7,1.6,2.4,228,231,1.6,220,29.5,30.0,29.5,83,81,0.0,1,36.94
58108,2022-08-08 21:00:00,998.7,1003.2,998.8,998.6,2.2,3.9,211,212,1.7,200,29.0,29.4,27.8,82,81,0.0,2,35.18
58109,2022-08-08 21:00:00,998.9,1002.5,999.1,998.9,2.1,3.5,253,252,1.0,237,29.5,29.9,29.3,83,82,0.0,1,36.94
58112,2022-08-08 21:00:00,901.8,1005.5,902.0,901.8,3.8,6.8,264,295,2.7,259,23.8,24.0,23.7,85,85,0.0,2,24.46
58113,2022-08-08 21:00:00,999.5,1003.2,999.5,999.4,1.8,2.6,152,155,1.7,160,29.0,29.7,29.0,85,81,0.0,2,35.87
58114,2022-08-08 21:00:00,999.5,1003.1,999.5,999.3,2.2,4.7,194,190,2.1,199,31.2,31.4,31.0,73,72,0.0,1,39.11
58116,2022-08-08 21:00:00,999.3,1003.1,999.3,999.1,1.6,2.7,194,193,1.2,180,29.7,29.8,29.7,87,87,0.0,1,38.74
58117,2022-08-08 21:00:00,999.9,1003.2,1000.0,999.9,1.1,1.5,158,143,0.9,180,28.6,28.9,28.6,89,88,0.0,1,35.64
