Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 04:00:00,998.4,1003.2,998.6,998.3,3.2,5.0,205,197,1.6,202,34.3,34.4,33.8,62,61,0.0,2,43.91
58016,2022-08-08 04:00:00,999.4,1003.4,999.8,999.4,3.9,6.9,253,242,3.0,223,36.4,36.8,35.9,52,51,0.0,2,45.14
58102,2022-08-08 04:00:00,998.7,1003.2,999.1,998.7,3.8,6.2,172,211,3.7,186,35.2,35.8,34.8,57,56,0.0,2,44.2
58107,2022-08-08 04:00:00,998.6,1002.8,999.2,998.6,5.0,7.9,197,205,3.4,195,35.8,35.8,34.9,60,56,0.0,3,47.5
58108,2022-08-08 04:00:00,998.5,1003.0,999.1,998.4,4.8,7.7,228,222,3.5,210,35.7,35.7,34.9,59,56,0.0,3,46.66
58109,2022-08-08 04:00:00,999.0,1002.6,999.5,999.0,4.2,7.2,219,223,3.2,226,35.7,35.8,35.1,60,56,0.0,3,47.19
58112,2022-08-08 04:00:00,902.5,1006.2,902.9,902.5,2.3,5.1,256,126,1.9,145,28.3,28.9,26.6,79,77,0.0,2,32.69
58113,2022-08-08 04:00:00,999.9,1003.6,1000.2,999.9,5.0,7.9,203,188,3.8,203,35.8,36.0,35.1,57,55,0.0,3,45.94
58114,2022-08-08 04:00:00,999.5,1003.1,1000.2,999.4,3.4,7.3,138,210,1.9,210,36.2,36.4,35.2,53,51,0.0,2,45.08
58116,2022-08-08 04:00:00,999.6,1003.4,1000.0,999.6,4.1,5.9,225,230,1.6,213,35.7,35.9,35.3,57,55,0.0,2,45.64
58117,2022-08-08 04:00:00,1000.1,1003.3,1000.5,1000.1,3.5,6.0,200,221,2.3,199,36.7,36.9,36.3,56,52,0.0,2,48.11
58118,2022-08-08 04:00:00,1000.6,1003.7,1001.0,1000.5,4.3,7.9,160,195,4.1,181,36.2,36.2,35.5,59,58,0.0,3,48.22
58122,2022-08-08 04:00:00,1000.7,1003.7,1001.1,1000.7,4.8,8.3,205,201,3.4,200,36.0,36.2,35.5,59,57,0.0,3,47.59
58125,2022-08-08 04:00:00,1001.4,1004.1,1001.7,1001.4,3.8,7.0,197,209,2.7,218,36.5,36.9,35.6,58,56,0.0,2,48.61
58126,2022-08-08 04:00:00,1002.0,1004.5,1002.2,1002.0,3.3,5.5,222,209,1.8,226,35.8,36.0,34.9,60,58,0.0,2,47.5
58127,2022-08-08 04:00:00,1001.2,1004.1,1001.5,1001.2,4.3,5.8,197,201,4.0,197,36.0,36.0,34.6,57,57,0.0,3,46.53
