Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 09:00:00,997.1,1001.9,997.1,996.9,2.7,4.0,166,181,1.2,172,34.6,34.7,34.5,64,62,0.0,1,45.77
58016,2022-08-08 09:00:00,998.1,1002.1,998.2,998.1,3.0,5.2,194,174,2.7,186,35.2,35.7,35.2,62,59,0.0,2,46.66
58102,2022-08-08 09:00:00,997.6,1002.1,997.6,997.4,2.6,3.9,177,208,1.9,168,35.5,36.1,35.5,60,55,0.0,2,46.57
58107,2022-08-08 09:00:00,997.3,1001.5,997.3,997.1,3.0,4.7,186,181,2.0,185,35.4,36.1,35.4,59,55,0.0,2,45.75
58108,2022-08-08 09:00:00,997.4,1001.9,997.4,997.3,2.8,4.9,169,167,0.9,174,35.2,35.3,35.1,64,57,0.0,1,47.71
58109,2022-08-08 09:00:00,997.7,1001.3,997.7,997.5,3.5,7.4,222,235,1.6,211,35.5,36.4,35.5,61,54,0.0,2,47.09
58112,2022-08-08 09:00:00,901.3,1004.9,901.3,901.0,3.3,6.0,121,205,2.7,115,28.4,29.0,28.3,72,70,0.0,2,31.77
58113,2022-08-08 09:00:00,998.6,1002.3,998.6,998.5,3.3,4.5,169,154,2.6,170,34.4,35.3,34.4,68,62,0.0,2,47.13
58114,2022-08-08 09:00:00,998.3,1001.9,998.3,998.1,2.5,5.1,152,203,1.1,185,36.0,37.0,36.0,51,46,0.0,2,43.59
58116,2022-08-08 09:00:00,998.4,1002.2,998.5,998.3,3.4,5.7,188,169,2.7,169,35.2,35.6,35.1,63,62,0.0,2,47.18
58117,2022-08-08 09:00:00,998.8,1002.1,998.8,998.5,2.4,4.1,200,146,1.4,190,35.7,37.1,35.7,60,53,0.0,1,47.19
58118,2022-08-08 09:00:00,999.1,1002.2,999.2,998.9,3.6,5.3,200,181,2.2,183,35.5,36.2,35.5,59,56,0.0,2,46.06
58122,2022-08-08 09:00:00,999.1,1002.1,999.3,999.1,3.3,4.6,166,158,2.2,157,35.2,36.0,35.2,67,59,0.0,2,49.35
58125,2022-08-08 09:00:00,999.7,1002.4,1000.0,999.7,2.7,4.1,155,168,1.9,184,35.5,36.8,35.5,64,57,0.0,2,48.71
58126,2022-08-08 09:00:00,1000.1,1002.6,1000.5,1000.1,2.0,3.3,222,217,1.7,199,36.4,37.1,36.4,56,50,0.0,1,47.2
58127,2022-08-08 09:00:00,999.3,1002.2,999.6,999.3,2.1,2.8,222,221,1.5,214,36.9,37.4,36.7,53,49,0.0,2,47.07
58128,2022-08-08 09:00:00,999.8,1002.3,1000.0,999.7,1.9,3.4,174,135,1.1,186,36.5,37.7,36.5,59,47,0.0,1,49.18
58129,2022-08-08 09:00:00,1000.7,1002.5,1000.9,1000.7,2.8,4.2,211,149,0.9,201,37.0,37.3,36.9,57,50,0.0,1,49.63
58202,2022-08-08 09:00:00,997.6,1001.5,997.7,997.5,3.3,5.9,152,141,2.7,159,36.6,37.3,36.6,53,51,0.0,2,46.21
58203,2022-08-08 09:00:00,998.3,1001.9,998.3,998.1,3.9,6.1,149,122,3.8,142,36.0,37.1,36.0,54,49,0.0,3,45.02
58210,2022-08-08 09:00:00,999.0,1002.1,999.0,998.8,4.0,5.8,141,157,2.0,158,36.1,36.9,36.1,56,52,0.0,2,46.31
58212,2022-08-08 09:00:00,999.4,1002.1,999.6,999.3,2.8,4.3,222,223,2.2,196,37.4,38.2,37.4,47,43,0.0,2,45.32
58214,2022-08-08 09:00:00,998.8,1002.1,998.9,998.7,2.3,3.7,84,104,1.7,165,36.9,37.2,36.8,55,52,0.0,1,48.17
58215,2022-08-08 09:00:00,999.5,1002.4,999.6,999.4,2.0,2.9,93,86,1.8,99,35.8,36.9,35.8,70,59,0.0,2,53.37
58220,2022-08-08 09:00:00,997.4,1002.6,997.6,997.4,3.1,4.1,135,131,2.3,130,34.9,35.3,34.8,63,57,0.0,2,46.22
58221,2022-08-08 09:00:00,999.3,1002.4,999.4,999.2,2.4,3.6,101,122,2.2,109,36.0,37.2,36.0,62,52,0.0,2,49.26
58222,2022-08-08 09:00:00,999.7,1002.6,999.9,999.7,3.4,5.5,174,162,2.1,159,36.0,37.2,36.0,58,51,0.0,2,47.06
58223,2022-08-08 09:00:00,998.7,1002.6,999.0,998.7,1.9,3.3,225,271,1.4,139,37.3,37.3,36.3,51,49,0.0,1,47.14
58224,2022-08-08 09:00:00,994.3,1002.3,994.4,994.3,4.3,6.7,121,129,3.8,123,36.0,37.7,35.9,55,41,0.0,3,45.51
58225,2022-08-08 09:00:00,994.7,1002.7,994.9,994.6,4.3,6.4,149,150,4.4,158,36.2,36.4,35.9,55,53,0.0,3,46.09
58234,2022-08-08 09:00:00,998.0,1002.7,998.3,998.0,2.9,4.5,270,261,0.8,239,34.9,35.0,34.6,62,55,0.0,1,45.72
58236,2022-08-08 09:00:00,999.0,1002.9,999.2,999.0,3.8,5.1,166,168,2.1,179,36.8,37.7,36.6,55,51,0.0,2,47.86
58240,2022-08-08 09:00:00,1001.6,1002.9,1001.8,1001.5,2.6,5.1,174,134,1.7,215,37.4,38.0,37.4,52,45,0.0,2,47.98
58306,2022-08-08 09:00:00,991.0,1001.7,991.0,990.8,2.2,4.9,318,263,0.9,292,38.8,39.0,38.3,44,42,0.0,1,47.41
58311,2022-08-08 09:00:00,993.6,1002.0,993.6,993.3,3.7,6.8,158,194,2.4,145,37.5,38.3,37.5,52,50,0.0,2,48.27
58314,2022-08-08 09:00:00,992.8,1002.7,993.0,992.1,4.7,8.2,101,168,1.4,119,30.1,34.6,30.0,73,56,0.0,2,36.05
58316,2022-08-08 09:00:00,1000.0,1002.8,1000.0,999.1,4.6,10.8,231,231,2.4,149,34.6,37.9,34.6,54,49,0.0,3,41.29
58317,2022-08-08 09:00:00,955.9,1004.0,955.9,955.6,3.9,6.4,211,158,3.5,146,33.5,34.7,33.4,55,50,0.0,2,38.97
58319,2022-08-08 09:00:00,993.7,1003.4,993.7,993.4,4.9,8.0,200,215,3.2,193,35.3,35.6,35.2,52,51,0.0,3,42.23
58320,2022-08-08 09:00:00,999.6,1002.7,999.6,999.3,5.4,8.1,138,138,3.5,134,36.1,36.5,35.8,54,52,0.0,3,45.3
58321,2022-08-08 09:00:00,996.3,1002.0,996.3,996.0,4.4,7.0,163,152,3.7,153,36.4,37.7,36.4,51,47,0.0,3,44.65
58323,2022-08-08 09:00:00,1000.6,1002.7,1000.7,1000.4,4.9,7.7,166,180,3.0,185,37.0,37.3,36.7,52,51,0.0,3,46.82
