Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 12:00:00,998.3,1003.2,998.3,997.8,1.1,1.5,135,139,0.8,145,32.0,32.9,31.8,88,73,0.0,1,47.99
58016,2022-08-08 12:00:00,999.6,1003.6,999.6,999.1,0.9,1.3,129,110,0.9,165,32.2,33.5,32.2,77,69,0.0,1,43.8
58102,2022-08-08 12:00:00,998.7,1003.2,998.7,997.9,1.4,2.2,101,122,1.5,124,33.8,34.8,33.7,67,61,0.0,1,44.67
58107,2022-08-08 12:00:00,998.3,1002.5,998.3,997.8,1.4,2.2,135,145,1.1,148,32.0,33.6,32.0,81,74,0.0,1,44.8
58108,2022-08-08 12:00:00,998.4,1002.9,998.4,997.7,1.9,2.7,118,131,1.6,125,31.9,33.0,31.9,78,73,0.0,2,43.18
58109,2022-08-08 12:00:00,998.8,1002.4,998.8,998.2,1.2,1.9,172,999017,0.1,140,31.2,33.3,31.2,83,78,0.0,1,42.68
58112,2022-08-08 12:00:00,902.2,1006.4,902.2,901.7,1.6,2.6,225,263,1.6,252,24.4,25.4,24.3,87,84,0.0,1,25.17
58113,2022-08-08 12:00:00,999.8,1003.5,999.8,999.3,1.7,2.5,149,137,1.3,142,32.4,32.9,32.4,73,72,0.0,1,42.81
58114,2022-08-08 12:00:00,999.4,1003.0,999.4,998.9,2.2,3.5,188,125,1.9,150,34.2,34.8,34.2,61,58,0.0,2,43.17
58116,2022-08-08 12:00:00,999.7,1003.5,999.7,999.2,1.2,1.7,143,133,1.2,131,32.1,33.4,32.1,84,72,0.0,1,46.52
58117,2022-08-08 12:00:00,999.7,1003.0,999.7,999.3,1.2,1.9,124,135,1.2,138,31.9,33.1,31.9,82,74,0.0,1,44.86
58118,2022-08-08 12:00:00,1000.2,1003.4,1000.2,999.7,1.5,2.8,158,150,1.0,171,31.5,32.6,31.5,79,72,0.0,1,42.2
58122,2022-08-08 12:00:00,1000.6,1003.6,1000.6,1000.0,1.7,2.1,98,73,0.8,100,31.2,32.3,31.2,86,84,0.0,1,43.86
58125,2022-08-08 12:00:00,1001.1,1003.8,1001.1,1000.5,2.3,3.8,121,132,2.3,109,33.0,33.6,32.9,75,71,0.0,2,45.72
58126,2022-08-08 12:00:00,1001.5,1004.0,1001.5,1001.0,1.6,3.2,98,143,0.8,118,32.8,33.6,32.8,76,72,0.0,1,45.47
58127,2022-08-08 12:00:00,1000.6,1003.5,1000.6,1000.1,2.1,2.7,166,162,1.9,158,32.5,33.6,32.4,74,71,0.0,2,43.55
58128,2022-08-08 12:00:00,1001.2,1003.7,1001.2,1000.5,1.8,2.8,135,129,0.7,143,32.0,33.5,32.0,80,76,0.0,1,44.37
58129,2022-08-08 12:00:00,1002.0,1003.8,1002.0,1001.5,1.9,2.6,121,118,1.9,125,33.1,33.8,33.1,72,69,0.0,2,44.68
58202,2022-08-08 12:00:00,998.8,1002.7,998.8,998.5,2.5,4.2,155,141,3.0,143,35.1,35.7,35.0,60,57,0.0,2,45.35
58203,2022-08-08 12:00:00,999.4,1003.0,999.4,999.0,2.5,3.7,113,121,1.7,120,34.2,34.9,34.2,63,59,0.0,2,44.07
58210,2022-08-08 12:00:00,999.9,1003.0,1000.0,999.6,2.3,2.7,132,134,1.8,133,32.5,33.9,32.5,72,66,0.0,2,42.72
58212,2022-08-08 12:00:00,1000.7,1003.4,1000.7,1000.0,2.2,3.1,146,124,2.0,125,33.8,35.1,33.8,65,59,0.0,2,43.76
58214,2022-08-08 12:00:00,1000.0,1003.3,1000.0,999.5,1.5,2.2,110,132,0.8,107,34.0,34.1,33.0,67,67,0.0,1,45.31
58215,2022-08-08 12:00:00,1000.8,1003.7,1000.8,1000.0,2.0,2.9,93,108,0.8,109,30.9,32.0,30.9,86,80,0.0,1,42.72
58220,2022-08-08 12:00:00,998.7,1003.9,998.7,997.9,2.2,3.0,143,159,1.8,145,32.6,33.5,32.4,65,62,0.0,2,40.28
58221,2022-08-08 12:00:00,1000.6,1003.7,1000.6,1000.0,1.5,2.0,121,122,1.1,109,32.5,33.7,32.5,73,66,0.0,1,43.13
58222,2022-08-08 12:00:00,1000.9,1003.8,1000.9,1000.4,1.6,2.2,183,166,1.4,134,32.7,33.8,32.7,74,70,0.0,1,44.22
58223,2022-08-08 12:00:00,999.9,1003.8,999.9,999.6,1.7,3.0,79,175,1.7,126,34.6,35.2,34.3,58,57,0.0,1,42.98
58224,2022-08-08 12:00:00,995.7,1003.8,995.7,995.0,1.9,2.6,124,117,1.7,116,31.9,33.1,31.9,70,64,0.0,2,40.12
58225,2022-08-08 12:00:00,996.0,1004.0,996.0,995.4,3.2,5.0,172,177,2.7,174,34.3,34.9,34.3,56,54,0.0,2,41.33
58234,2022-08-08 12:00:00,999.2,1003.8,999.2,998.8,1.3,1.7,228,235,0.7,217,32.2,33.9,32.2,70,62,0.0,1,41.0
58236,2022-08-08 12:00:00,1000.2,1004.1,1000.2,999.8,1.2,1.3,180,335,0.7,192,33.0,34.9,33.0,75,64,0.0,1,45.72
