Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 13:00:00,998.9,1003.8,998.9,998.3,0.9,1.5,124,112,0.6,133,31.2,32.0,31.2,94,85,0.0,1,47.24
58016,2022-08-08 13:00:00,1000.0,1004.0,1000.0,999.6,0.7,1.1,129,204,0.7,118,31.6,32.2,31.6,83,77,0.0,1,44.16
58102,2022-08-08 13:00:00,999.3,1003.8,999.3,998.7,1.8,2.3,93,98,1.7,95,33.3,33.7,33.3,72,67,0.0,2,45.36
58107,2022-08-08 13:00:00,999.0,1003.2,999.0,998.3,1.8,2.0,138,126,1.5,133,31.1,32.0,31.1,81,79,0.0,2,41.58
58108,2022-08-08 13:00:00,999.0,1003.5,999.0,998.4,1.8,2.5,138,130,1.6,136,31.7,32.1,31.7,78,75,0.0,2,42.49
58109,2022-08-08 13:00:00,999.4,1003.0,999.4,998.8,1.0,1.5,158,58,0.6,145,30.5,31.3,30.5,86,83,0.0,1,41.23
58112,2022-08-08 13:00:00,902.7,1006.9,902.7,902.2,1.7,2.9,267,293,1.3,257,24.0,24.6,24.0,86,85,0.0,1,24.7
58113,2022-08-08 13:00:00,1000.4,1004.1,1000.4,999.8,1.4,1.8,124,142,0.9,135,31.4,32.3,31.4,80,74,0.0,1,42.24
58114,2022-08-08 13:00:00,1000.1,1003.7,1000.1,999.4,1.9,3.4,132,124,1.4,122,33.9,34.3,33.8,62,61,0.0,2,42.74
58116,2022-08-08 13:00:00,1000.2,1004.0,1000.2,999.7,1.3,1.7,124,128,0.8,132,31.4,32.1,31.4,89,83,0.0,1,45.91
58117,2022-08-08 13:00:00,1000.2,1003.5,1000.2,999.7,1.2,1.5,124,117,1.0,131,31.6,31.9,31.6,82,78,0.0,1,43.74
58118,2022-08-08 13:00:00,1000.7,1003.8,1000.8,1000.2,2.1,3.0,160,116,1.3,148,32.3,32.4,30.9,71,70,0.0,2,41.69
58122,2022-08-08 13:00:00,1001.1,1004.1,1001.1,1000.6,1.3,1.5,82,72,0.4,82,30.6,31.2,30.6,90,86,0.0,1,43.06
58125,2022-08-08 13:00:00,1001.8,1004.5,1001.8,1001.1,2.3,3.2,158,147,1.8,142,32.3,33.0,32.3,77,75,0.0,2,44.15
58126,2022-08-08 13:00:00,1002.3,1004.8,1002.3,1001.5,0.9,1.6,158,132,0.7,148,31.7,32.8,31.7,79,76,0.0,1,42.89
58127,2022-08-08 13:00:00,1001.3,1004.2,1001.4,1000.6,2.0,2.6,158,145,1.9,158,32.1,32.5,32.1,77,73,0.0,2,43.46
58128,2022-08-08 13:00:00,1001.8,1004.3,1001.8,1001.2,0.9,1.3,135,135,1.0,129,31.6,32.0,31.6,79,78,0.0,1,42.54
58129,2022-08-08 13:00:00,1002.7,1004.5,1002.7,1002.0,2.3,3.4,124,118,2.0,125,32.7,33.1,32.5,73,72,0.0,2,43.79
58202,2022-08-08 13:00:00,999.3,1003.2,999.3,998.9,2.7,4.3,143,145,2.0,146,34.6,35.1,34.6,63,61,0.0,2,45.29
58203,2022-08-08 13:00:00,999.9,1003.5,999.9,999.4,2.2,3.3,113,117,1.4,116,34.0,34.2,34.0,62,62,0.0,2,43.03
58210,2022-08-08 13:00:00,1000.4,1003.5,1000.5,999.9,2.5,3.1,133,129,2.2,132,32.4,32.5,32.3,70,70,0.0,2,41.6
58212,2022-08-08 13:00:00,1001.2,1003.9,1001.2,1000.7,2.1,3.4,121,94,1.2,121,32.9,34.0,32.9,69,60,0.0,1,42.73
58214,2022-08-08 13:00:00,1000.2,1003.5,1000.3,1000.0,2.1,4.0,124,132,1.6,126,33.0,34.3,33.0,74,66,0.0,2,45.25
58215,2022-08-08 13:00:00,1001.1,1004.0,1001.2,1000.8,1.9,2.5,132,131,2.3,130,30.3,30.9,30.3,88,83,0.0,2,41.2
58220,2022-08-08 13:00:00,999.3,1004.5,999.3,998.7,1.9,1.9,158,144,1.1,155,31.7,32.7,31.7,70,64,0.0,1,39.54
58221,2022-08-08 13:00:00,1001.2,1004.3,1001.2,1000.6,2.1,3.0,113,118,2.0,116,31.8,32.5,31.8,76,73,0.0,2,42.05
58222,2022-08-08 13:00:00,1001.7,1004.6,1001.7,1001.0,1.7,2.2,158,148,1.2,160,32.0,32.7,32.0,75,73,0.0,1,42.31
58223,2022-08-08 13:00:00,1000.7,1004.6,1000.7,999.9,1.9,2.9,163,173,1.7,177,34.3,34.6,34.3,57,56,0.0,2,41.74
58224,2022-08-08 13:00:00,996.1,1004.1,996.1,995.7,2.3,3.4,118,123,2.6,124,31.4,31.9,31.3,70,70,0.0,2,38.69
58225,2022-08-08 13:00:00,996.6,1004.6,996.6,996.0,3.0,4.4,188,127,1.0,172,33.7,34.3,33.7,59,56,0.0,1,40.96
58234,2022-08-08 13:00:00,999.9,1004.5,999.9,999.2,0.9,1.1,228,220,0.8,238,31.3,32.2,31.3,73,68,0.0,1,39.4
58236,2022-08-08 13:00:00,1000.9,1004.8,1000.9,1000.2,1.2,1.4,323,999017,0.0,323,31.7,32.9,31.7,77,74,0.0,1,42.1
58240,2022-08-08 13:00:00,1003.5,1004.8,1003.5,1002.9,2.1,2.7,186,200,2.1,181,32.9,32.9,32.6,72,72,0.0,2,44.02
58306,2022-08-08 13:00:00,993.3,1004.1,993.3,992.8,2.9,4.0,163,178,1.8,172,28.8,29.3,28.8,82,79,0.0,2,34.61
