Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 03:00:00,998.6,1003.4,998.7,998.5,3.8,5.9,228,202,3.1,211,33.9,34.0,32.7,63,62,0.0,2,43.18
58016,2022-08-08 03:00:00,999.6,1003.6,999.8,999.5,3.8,7.0,256,209,4.9,201,35.9,36.0,34.4,55,54,0.0,3,45.23
58102,2022-08-08 03:00:00,999.1,1003.6,999.2,999.0,3.3,5.4,197,173,3.2,183,35.0,35.0,34.2,58,58,0.0,2,44.1
58107,2022-08-08 03:00:00,999.2,1003.4,999.2,999.0,4.8,7.9,217,185,4.2,205,35.1,35.1,34.2,60,59,0.0,3,45.35
58108,2022-08-08 03:00:00,999.0,1003.5,999.1,998.8,4.6,7.6,219,218,4.6,213,35.1,35.2,34.2,57,56,0.0,3,43.92
58109,2022-08-08 03:00:00,999.5,1003.1,999.6,999.3,4.5,7.1,236,237,3.1,224,35.1,35.1,34.3,61,58,0.0,3,45.84
58112,2022-08-08 03:00:00,902.9,1006.8,902.9,902.8,2.3,3.9,98,230,2.1,112,26.6,27.7,26.1,86,76,0.0,2,29.31
58113,2022-08-08 03:00:00,1000.2,1003.9,1000.3,1000.1,5.5,8.5,211,201,4.6,217,35.2,35.3,34.3,58,56,0.0,3,44.68
58114,2022-08-08 03:00:00,1000.2,1003.8,1000.2,999.8,3.6,6.3,248,207,3.6,214,35.4,35.5,34.2,56,54,0.0,2,44.3
58116,2022-08-08 03:00:00,999.9,1003.7,1000.0,999.8,4.2,7.5,191,217,3.7,190,35.3,35.4,34.7,61,57,0.0,3,46.46
58117,2022-08-08 03:00:00,1000.4,1003.7,1000.7,1000.4,4.0,6.6,191,192,3.3,204,36.3,36.3,35.4,54,53,0.0,3,45.86
58118,2022-08-08 03:00:00,1000.9,1004.0,1001.0,1000.8,5.4,8.0,194,187,4.5,205,35.5,35.6,34.5,60,59,0.0,3,46.57
58122,2022-08-08 03:00:00,1001.0,1004.0,1001.1,1000.7,4.4,6.6,186,201,4.0,185,35.4,35.6,34.5,61,58,0.0,3,46.77
58125,2022-08-08 03:00:00,1001.7,1004.4,1001.8,1001.5,3.9,6.2,205,227,3.8,188,35.9,35.9,34.3,60,60,0.0,3,47.82
58126,2022-08-08 03:00:00,1002.2,1004.7,1002.3,1002.0,2.9,5.6,155,205,2.7,213,34.9,35.4,33.9,64,60,0.0,2,46.73
58127,2022-08-08 03:00:00,1001.5,1004.4,1001.6,1001.4,4.5,5.8,188,218,3.9,197,34.8,34.8,33.7,65,64,0.0,3,46.92
58128,2022-08-08 03:00:00,1001.8,1004.3,1002.0,1001.7,4.0,6.1,205,197,3.0,201,36.2,36.2,34.7,53,52,0.0,2,45.08
58129,2022-08-08 03:00:00,1002.9,1004.7,1002.9,1002.7,3.5,5.9,219,215,2.4,211,35.1,35.1,33.3,64,63,0.0,2,47.38
58202,2022-08-08 03:00:00,999.6,1003.5,999.8,999.6,4.6,7.6,188,220,4.3,214,35.3,35.6,34.7,57,55,0.0,3,44.49
58203,2022-08-08 03:00:00,1000.1,1003.7,1000.3,1000.0,5.0,8.0,169,179,5.3,165,36.3,36.4,35.3,52,51,0.0,3,44.87
58210,2022-08-08 03:00:00,1001.0,1004.1,1001.0,1000.9,5.0,8.2,180,218,3.8,174,36.3,36.3,35.3,54,54,0.0,3,45.86
58212,2022-08-08 03:00:00,1001.6,1004.3,1001.6,1001.4,4.6,7.1,166,205,4.5,179,36.3,36.6,35.7,51,48,0.0,3,44.38
58214,2022-08-08 03:00:00,1000.9,1004.2,1001.1,1000.9,4.6,6.5,205,160,3.5,177,35.3,35.3,34.1,60,60,0.0,2,45.95
58215,2022-08-08 03:00:00,1001.6,1004.5,1001.7,1001.6,3.6,5.0,146,187,1.9,158,34.9,34.9,33.4,69,66,0.0,2,49.41
58220,2022-08-08 03:00:00,999.4,1004.6,999.5,999.4,3.4,5.0,203,206,1.5,200,36.3,36.5,35.0,59,54,0.0,2,48.54
58221,2022-08-08 03:00:00,1001.4,1004.5,1001.5,1001.4,3.5,5.6,248,242,3.1,197,35.4,35.6,33.9,62,59,0.0,2,47.3
58222,2022-08-08 03:00:00,1001.8,1004.7,1001.8,1001.7,2.9,5.0,248,259,2.7,239,35.9,36.0,33.9,55,55,0.0,2,45.23
58223,2022-08-08 03:00:00,1000.7,1004.6,1000.8,1000.5,3.9,6.1,211,177,3.3,197,36.0,36.1,34.8,58,57,0.0,2,47.06
58224,2022-08-08 03:00:00,996.5,1004.5,996.5,996.4,3.3,5.6,183,195,2.6,183,35.9,36.0,34.7,49,48,0.0,2,42.44
58225,2022-08-08 03:00:00,996.7,1004.7,996.8,996.7,3.6,5.3,219,237,3.6,232,35.1,35.1,34.1,64,63,0.0,2,47.38
58234,2022-08-08 03:00:00,1000.1,1004.7,1000.2,1000.0,3.8,6.1,200,181,3.1,184,36.6,36.6,35.6,53,51,0.0,2,46.21
58236,2022-08-08 03:00:00,1001.0,1004.9,1001.2,1001.0,3.9,5.7,180,175,3.6,174,36.6,36.6,35.7,56,56,0.0,3,47.81
58240,2022-08-08 03:00:00,1003.9,1005.2,1003.9,1003.8,4.9,7.1,203,205,4.0,189,35.3,35.3,34.7,60,58,0.0,3,45.95
58306,2022-08-08 03:00:00,993.2,1004.0,993.4,993.2,3.3,6.8,158,177,3.7,149,36.2,36.3,35.4,51,49,0.0,2,44.12
58311,2022-08-08 03:00:00,995.9,1004.3,996.0,995.8,2.8,4.3,188,225,1.7,202,37.0,37.4,35.9,48,44,0.0,2,44.78
58314,2022-08-08 03:00:00,994.2,1003.9,994.6,994.2,3.0,6.2,287,254,1.6,242,36.9,37.5,36.1,46,44,0.0,2,43.57
58316,2022-08-08 03:00:00,1001.4,1004.2,1001.8,1001.4,2.8,5.5,141,124,2.1,251,37.8,37.8,36.3,49,43,0.0,2,47.46
58317,2022-08-08 03:00:00,957.7,1005.6,957.9,957.7,4.0,6.2,141,170,3.8,149,34.2,34.4,32.8,57,55,0.0,3,41.48
58319,2022-08-08 03:00:00,995.9,1005.6,996.3,995.9,4.9,8.5,217,195,5.9,200,32.7,33.1,31.8,65,65,0.0,3,40.56
