Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan
58015,2022-08-08 06:00:00,997.6,1002.4,997.8,997.4,2.1,3.6,188,204,1.5,192,34.5,34.9,34.4,65,58,0.0,2,45.95
58016,2022-08-08 06:00:00,998.5,1002.5,999.0,998.5,2.8,4.1,197,183,1.4,195,37.0,37.2,36.7,52,51,0.0,2,46.82
58102,2022-08-08 06:00:00,997.8,1002.2,998.4,997.8,3.5,5.8,169,171,3.2,166,36.6,36.6,36.1,55,54,0.0,2,47.26
58107,2022-08-08 06:00:00,997.7,1001.9,998.2,997.7,4.1,6.2,219,156,2.3,199,36.5,36.8,36.1,56,54,0.0,3,47.51
58108,2022-08-08 06:00:00,997.7,1002.2,998.1,997.7,3.5,5.5,225,166,2.7,222,36.5,36.5,36.0,57,55,0.0,2,48.05
58109,2022-08-08 06:00:00,998.1,1001.7,998.5,998.1,4.6,7.0,203,243,4.0,219,36.6,36.7,36.0,54,51,0.0,3,46.73
58112,2022-08-08 06:00:00,902.1,1005.4,902.3,902.1,3.2,5.5,96,108,2.2,133,29.9,30.4,28.6,72,70,0.0,2,35.28
58113,2022-08-08 06:00:00,998.9,1002.6,999.4,998.9,3.8,6.4,248,222,2.8,225,36.7,36.9,36.4,55,53,0.0,2,47.56
58114,2022-08-08 06:00:00,998.8,1002.4,999.1,998.7,3.0,6.3,180,172,3.1,180,37.2,37.2,36.7,48,48,0.0,2,45.3
58116,2022-08-08 06:00:00,998.7,1002.5,999.2,998.7,2.9,5.2,194,185,2.6,196,36.2,36.5,35.7,57,54,0.0,2,47.13
58117,2022-08-08 06:00:00,999.2,1002.5,999.7,999.2,3.4,5.6,219,199,2.5,203,37.2,37.8,37.2,52,50,0.0,2,47.4
58118,2022-08-08 06:00:00,999.7,1002.8,1000.1,999.7,4.6,7.9,146,178,4.0,184,36.6,36.8,36.4,56,54,0.0,3,47.81
58122,2022-08-08 06:00:00,999.9,1002.9,1000.2,999.9,4.3,6.2,217,229,2.7,187,36.4,36.7,35.9,57,57,0.0,3,47.75
58125,2022-08-08 06:00:00,1000.6,1003.3,1000.9,1000.5,3.9,6.1,186,192,2.6,191,37.1,38.0,36.9,54,50,0.0,2,48.21
58126,2022-08-08 06:00:00,1001.1,1003.5,1001.6,1001.1,3.4,5.2,242,196,1.3,222,37.5,37.9,36.7,50,45,0.0,2,47.16
58127,2022-08-08 06:00:00,1000.2,1003.1,1000.8,1000.2,3.6,5.3,219,204,3.1,220,36.9,37.0,36.4,56,52,0.0,2,48.73
58128,2022-08-08 06:00:00,1000.6,1003.1,1001.1,1000.6,3.4,6.0,169,172,2.6,188,37.6,37.9,37.1,49,47,0.0,2,46.9
58129,2022-08-08 06:00:00,1001.5,1003.3,1002.1,1001.5,2.6,4.5,239,195,2.2,209,37.4,37.4,36.4,49,49,0.0,2,46.35
58202,2022-08-08 06:00:00,998.3,1002.2,998.8,998.3,4.8,8.3,186,187,2.8,192,36.8,37.0,36.5,52,49,0.0,3,46.25
58203,2022-08-08 06:00:00,998.8,1002.4,999.3,998.8,5.4,8.3,169,160,5.1,154,37.6,37.8,37.0,48,47,0.0,3,46.37
58210,2022-08-08 06:00:00,999.7,1002.8,1000.2,999.7,3.9,6.8,218,151,3.3,206,37.4,37.8,37.1,54,50,0.0,2,49.12
58212,2022-08-08 06:00:00,1000.2,1002.9,1000.8,1000.2,3.7,6.3,197,199,3.0,207,37.3,37.7,37.3,52,47,0.0,3,47.69
58214,2022-08-08 06:00:00,999.7,1003.0,1000.2,999.7,3.6,5.1,155,179,2.8,157,36.5,36.6,36.0,55,55,0.0,2,46.97
58215,2022-08-08 06:00:00,1000.4,1003.3,1000.9,1000.4,2.6,5.7,186,193,2.6,194,36.5,36.6,36.1,58,55,0.0,2,48.61
58220,2022-08-08 06:00:00,998.2,1003.3,998.8,998.2,3.5,5.0,248,256,2.5,236,37.9,38.2,37.4,45,40,0.0,2,45.6
