Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 22:00:00,998.9,1003.8,998.9,998.2,2.2,3.2,360,340,2.0,11,28.8,29.1,28.8,99,99,0.0,2,39.11,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 22:00:00,999.4,1003.4,999.5,999.1,2.4,3.4,180,189,2.3,190,29.8,29.9,29.2,80,80,0.0,2,37.06,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 22:00:00,999.7,1003.5,999.7,999.3,1.4,2.2,200,180,1.3,197,29.6,29.7,29.5,91,87,0.0,1,39.64,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 22:00:00,999.2,1004.1,999.2,998.6,2.7,4.8,357,1,2.0,354,28.2,29.0,28.2,100,100,0.0,2,37.11,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 22:00:00,999.6,1003.8,999.6,999.1,0.8,1.6,261,263,1.0,293,29.3,29.7,29.2,100,97,0.0,1,41.41,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 22:00:00,1001.0,1004.0,1001.0,1000.5,1.5,3.0,206,180,1.1,211,29.7,29.7,28.8,88,87,0.0,1,39.05,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 22:00:00,998.9,1003.6,998.9,998.6,1.4,3.4,177,190,0.9,204,31.3,31.3,30.8,73,73,0.0,1,39.4,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 22:00:00,1000.8,1004.2,1000.8,1000.4,1.1,1.6,193,155,0.4,185,29.4,29.4,29.2,95,94,0.0,1,40.17,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 22:00:00,1000.4,1004.2,1000.4,1000.1,1.9,3.5,183,189,2.0,180,29.9,30.0,29.9,92,90,0.0,2,41.08,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 22:00:00,1003.4,1004.7,1003.5,1002.9,1.1,2.2,217,174,0.9,216,29.4,29.8,29.3,86,86,0.0,1,37.43,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 22:00:00,1003.2,1003.9,1003.3,1003.0,2.6,4.6,188,186,2.2,189,30.9,31.4,30.9,85,79,0.0,2,42.34,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 22:00:00,1000.9,1004.0,1000.9,1000.7,5.9,7.9,216,218,4.7,223,32.0,32.3,32.0,70,68,0.0,3,40.41,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 22:00:00,1003.8,1004.5,1003.8,1003.5,1.1,1.4,179,261,0.4,181,29.2,29.5,29.1,87,86,0.0,1,37.05,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 22:00:00,1004.0,1004.7,1004.1,1003.8,2.3,3.6,191,193,2.0,178,29.6,29.7,29.6,81,81,0.0,2,36.72,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 22:00:00,1003.7,1004.4,1003.8,1003.6,2.1,3.5,197,196,2.4,195,30.3,30.6,30.3,70,70,0.0,2,35.78,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 22:00:00,1003.7,1004.7,1003.7,1003.2,2.9,3.5,192,189,1.8,185,29.9,30.0,29.9,82,82,0.0,2,37.92,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 22:00:00,1004.4,1005.0,1004.4,1004.1,1.8,3.7,202,184,0.9,190,29.6,29.8,29.5,80,77,0.0,1,36.46,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 22:00:00,1003.3,1006.3,1003.5,1003.2,4.0,6.5,360,26,2.4,5,20.0,20.1,19.9,100,100,0.0,2,20.67,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 22:00:00,1003.4,1005.7,1003.6,1003.2,4.2,7.4,28,20,5.3,20,21.8,21.8,21.6,100,100,0.2,3,22.65,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 22:00:00,1003.2,1006.3,1003.4,1003.0,3.7,6.8,39,36,3.4,30,20.5,20.5,20.4,99,98,0.0,2,21.19,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
