Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 01:00:00,997.9,1002.7,998.0,997.5,3.6,5.1,177,198,2.9,191,31.7,31.8,31.2,70,69,0.0,2,39.54,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 01:00:00,999.2,1003.2,999.3,999.0,3.4,6.3,188,189,4.0,190,33.8,34.1,32.4,62,62,0.0,2,42.46,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 01:00:00,999.5,1003.3,999.6,999.2,3.4,5.6,177,179,3.6,178,33.9,33.9,32.3,63,63,0.0,2,43.18,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 01:00:00,998.4,1003.2,998.5,998.0,3.0,5.3,195,225,3.0,212,32.2,32.2,31.1,75,74,0.0,2,42.97,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 01:00:00,999.1,1003.3,999.1,998.8,2.5,4.8,232,191,1.3,223,32.4,32.4,31.6,68,66,0.0,2,40.83,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 01:00:00,1000.9,1003.9,1000.9,1000.4,2.6,4.0,210,215,2.3,209,34.0,34.0,32.6,62,61,0.0,2,43.03,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 01:00:00,998.7,1003.4,998.8,998.5,2.5,5.1,181,187,1.9,188,33.6,33.8,33.1,60,58,0.0,2,41.09,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 01:00:00,1000.7,1004.1,1000.8,1000.4,2.7,4.4,200,204,1.4,209,33.7,33.7,32.4,68,67,0.0,2,44.82,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 01:00:00,1000.4,1004.2,1000.4,1000.3,2.7,4.3,162,178,2.4,173,32.8,32.8,31.4,73,72,0.0,2,44.12,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 01:00:00,1003.4,1004.7,1003.4,1003.0,3.1,5.1,204,197,2.8,206,32.7,32.7,31.9,72,71,0.0,2,43.36,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
