Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 13:00:00,998.9,1003.8,998.9,998.3,0.9,1.5,124,112,0.6,133,31.2,32.0,31.2,94,85,0.0,1,47.24,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 13:00:00,1000.0,1004.0,1000.0,999.6,0.7,1.1,129,204,0.7,118,31.6,32.2,31.6,83,77,0.0,1,44.16,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 13:00:00,1000.2,1004.0,1000.2,999.7,1.3,1.7,124,128,0.8,132,31.4,32.1,31.4,89,83,0.0,1,45.91,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 13:00:00,999.5,1004.4,999.5,998.8,1.4,2.3,81,84,1.5,78,30.7,30.9,30.7,99,96,0.0,1,47.1,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 13:00:00,1000.1,1004.3,1000.1,999.5,2.0,3.0,141,128,0.9,135,33.6,33.6,33.4,67,67,0.0,2,44.04,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 13:00:00,1001.7,1004.7,1001.7,1001.1,1.3,2.3,155,154,0.6,153,32.0,32.2,31.2,78,78,0.0,1,43.53,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 13:00:00,999.5,1004.2,999.6,999.1,1.4,2.8,166,171,0.7,158,34.1,34.6,34.0,63,62,0.0,1,43.77,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 13:00:00,1001.3,1004.7,1001.3,1001.0,1.0,1.5,154,152,0.6,164,32.2,33.0,32.2,83,75,0.0,1,46.46,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 13:00:00,1001.0,1004.8,1001.0,1000.8,1.9,3.3,153,162,1.7,154,32.4,33.0,32.4,80,74,0.0,1,45.85,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 13:00:00,1003.7,1005.0,1003.7,1003.4,1.1,1.9,142,144,1.2,144,32.3,32.9,32.2,73,73,0.0,1,42.48,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 13:00:00,1004.2,1004.9,1004.2,1003.7,1.9,3.4,186,122,1.3,178,33.0,34.3,32.9,77,66,0.0,1,46.67,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 13:00:00,1001.9,1005.0,1002.0,1001.6,4.3,6.4,181,163,4.1,177,33.4,33.6,33.4,73,71,0.0,3,46.18,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 13:00:00,1004.3,1005.0,1004.3,1004.0,1.8,2.7,158,146,1.4,154,32.4,32.7,32.4,81,80,0.0,1,46.31,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 13:00:00,1004.5,1005.2,1004.5,1004.2,1.2,2.0,141,149,1.3,145,32.4,33.0,32.4,79,79,0.0,1,45.39,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 13:00:00,1004.4,1005.1,1004.4,1004.0,1.7,2.7,144,148,1.3,148,33.0,33.4,33.0,77,73,0.0,1,46.67,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 13:00:00,1004.1,1005.1,1004.1,1003.7,2.2,2.7,147,138,2.0,149,32.9,33.0,32.8,86,84,0.0,2,50.86,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 13:00:00,1004.9,1005.5,1004.9,1004.5,0.9,2.1,173,171,0.6,145,31.8,31.9,31.1,80,78,0.0,1,43.65,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 13:00:00,1002.6,1005.6,1002.8,1002.6,3.7,6.5,57,74,4.0,67,23.4,23.7,23.4,100,100,5.5,3,24.41,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 13:00:00,1003.7,1006.0,1003.9,1003.5,4.8,9.4,62,73,4.5,70,25.1,25.4,25.1,86,86,0.0,3,25.91,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 13:00:00,1003.1,1006.2,1003.2,1002.9,3.6,6.5,51,62,2.7,58,23.1,24.4,23.1,98,93,2.8,2,24.02,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
54715,2022-08-08 13:00:00,1004.2,1006.4,1004.2,1003.7,4.7,7.2,75,66,1.9,73,24.0,24.7,24.0,90,87,0.6,2,24.81,陵城,中国,山东省,临沂市,兰陵县,54715,37.3167,116.5167,17.6
54716,2022-08-08 13:00:00,1004.4,1006.5,1004.5,1004.1,3.3,5.5,87,96,2.2,69,25.0,25.0,24.8,77,77,0.0,2,25.57,宁津,中国,山东省,德州市,宁津县,54716,37.6667,116.8,17.3
54722,2022-08-08 13:00:00,1006.1,1007.0,1006.2,1005.7,3.1,5.4,73,66,2.2,66,24.8,25.0,24.8,85,82,0.0,2,25.55,无棣,中国,山东省,滨州市,无棣县,54722,37.75,117.6333,6.8
54723,2022-08-08 13:00:00,1005.8,1007.1,1006.1,1005.6,3.9,7.7,72,72,2.2,72,24.7,24.8,24.7,80,78,0.0,2,25.31,阳信,中国,山东省,滨州市,阳信县,54723,37.65,117.5667,10.1
54724,2022-08-08 13:00:00,1004.7,1006.5,1004.8,1004.4,3.2,6.4,65,66,2.2,64,24.9,25.3,24.9,85,83,0.0,2,25.66,商河,中国,山东省,济南市,商河县,54724,37.3167,117.1333,14.8
54725,2022-08-08 13:00:00,1005.6,1007.1,1005.6,1005.2,3.1,5.9,79,74,3.4,79,24.3,24.7,24.3,87,87,0.0,2,25.06,惠民,中国,山东省,滨州市,惠民县,54725,37.5,117.5333,11.7
54726,2022-08-08 13:00:00,1005.4,1006.9,1005.4,1005.1,4.0,7.0,79,86,2.4,84,25.3,25.4,25.3,82,81,0.0,2,26.03,乐陵,中国,山东省,德州市,乐陵市,54726,37.7,117.1833,11.5
54727,2022-08-08 13:00:00,975.8,1005.5,976.0,975.6,7.0,10.7,101,101,6.2,83,24.5,24.9,24.5,98,97,0.0,4,25.56,章丘,中国,山东省,济南市,章丘区,54727,36.65,117.5167,263.0
54728,2022-08-08 13:00:00,1005.5,1006.8,1005.7,1005.2,2.6,5.2,87,90,3.0,88,25.2,25.4,25.2,76,75,0.0,2,25.76,庆云,中国,山东省,德州市,庆云县,54728,37.7667,117.35,10.5
54729,2022-08-08 13:00:00,1005.1,1006.6,1005.5,1005.0,3.7,5.9,73,83,3.0,87,24.6,24.8,24.6,85,84,0.0,3,25.34,高青,中国,山东省,淄博市,高青县,54729,37.1667,117.8667,11.5
54734,2022-08-08 13:00:00,1004.9,1007.1,1005.0,1004.7,3.8,7.0,53,71,4.6,67,23.9,24.0,23.8,84,84,0.0,3,24.54,滨州,中国,山东省,滨州市,滨城区,54734,37.35,118.0333,17.8
54736,2022-08-08 13:00:00,1006.3,1007.1,1006.5,1006.0,3.2,7.5,42,58,2.8,54,24.7,25.0,24.6,85,82,0.0,2,25.45,东营,中国,山东省,东营市,东营区,54736,37.4333,118.6667,6.0
54744,2022-08-08 13:00:00,1006.2,1007.3,1006.3,1006.0,3.5,7.0,73,82,2.9,76,23.5,23.5,23.2,88,88,0.0,2,24.2,垦利,中国,山东省,东营市,垦利区,54744,37.5833,118.55,8.5
54749,2022-08-08 13:00:00,1000.5,1006.2,1000.5,1000.0,2.1,3.5,108,97,1.7,95,27.9,27.9,27.4,85,85,0.0,2,32.62,莱州,中国,山东省,烟台市,莱州市,54749,37.1833,119.95,48.4
54751,2022-08-08 13:00:00,1002.4,1007.1,1002.5,1002.1,3.5,5.1,42,48,2.8,22,25.7,25.7,25.6,96,96,0.0,2,27.39,长岛,中国,山东省,烟台市,长岛县,54751,37.9392,120.7256,39.7
54752,2022-08-08 13:00:00,1000.0,1007.1,1000.3,999.7,1.9,3.4,56,103,1.9,60,26.0,26.0,25.8,88,87,0.0,2,27.96,蓬莱,中国,山东省,烟台市,蓬莱市,54752,37.8,120.7667,60.7
54753,2022-08-08 13:00:00,1006.2,1006.9,1006.6,1006.0,2.9,5.7,42,84,2.8,62,25.7,26.0,25.7,100,97,0.0,2,27.45,龙口,中国,山东省,烟台市,龙口市,54753,37.6333,120.3333,4.8
54755,2022-08-08 13:00:00,993.3,1006.9,993.4,993.0,2.0,3.2,77,45,2.1,54,26.1,26.3,26.1,92,91,0.0,2,28.38,招远,中国,山东省,烟台市,招远市,54755,37.3283,120.3869,117.8
