Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 09:00:00,997.1,1001.9,997.1,996.9,2.7,4.0,166,181,1.2,172,34.6,34.7,34.5,64,62,0.0,1,45.77,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 09:00:00,998.1,1002.1,998.2,998.1,3.0,5.2,194,174,2.7,186,35.2,35.7,35.2,62,59,0.0,2,46.66,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 09:00:00,998.4,1002.2,998.5,998.3,3.4,5.7,188,169,2.7,169,35.2,35.6,35.1,63,62,0.0,2,47.18,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 09:00:00,997.6,1002.4,997.7,997.5,1.3,2.0,182,165,0.7,188,34.6,34.6,34.4,73,70,0.0,1,50.56,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 09:00:00,998.3,1002.5,998.3,998.2,1.7,2.8,206,241,0.6,217,34.3,34.6,34.3,68,62,0.0,1,46.79,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 09:00:00,999.7,1002.7,999.7,999.6,2.9,5.3,194,193,1.6,196,35.7,36.1,35.6,57,56,0.0,2,45.64,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 09:00:00,997.7,1002.4,997.7,997.5,2.5,4.7,216,236,1.7,192,35.8,36.2,35.8,57,51,0.0,2,45.94,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 09:00:00,999.5,1002.9,999.6,999.5,3.0,5.4,221,191,1.6,209,35.9,36.5,35.9,53,50,0.0,2,44.26,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 09:00:00,999.4,1003.2,999.5,999.3,1.9,2.9,179,185,0.7,198,34.7,35.4,34.7,65,56,0.0,1,46.59,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 09:00:00,1002.1,1003.4,1002.2,1002.0,2.5,4.2,222,183,1.9,213,35.6,36.5,35.6,64,54,0.0,2,49.05,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 09:00:00,1002.4,1003.1,1002.5,1002.2,3.8,5.9,183,207,2.8,177,35.6,35.9,35.6,60,56,0.0,2,46.88,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 09:00:00,1000.3,1003.4,1000.5,1000.2,4.4,6.1,177,175,1.6,179,35.0,35.5,35.0,62,55,0.0,2,46.03,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 09:00:00,1002.6,1003.3,1002.7,1002.5,2.8,4.4,186,188,2.1,186,34.6,35.2,34.6,70,66,0.0,2,48.89,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 09:00:00,1003.0,1003.7,1003.2,1003.0,2.6,5.2,160,173,2.6,155,35.0,35.5,35.0,67,65,0.0,2,48.66,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 09:00:00,1002.7,1003.4,1002.8,1002.7,3.4,5.3,177,148,3.1,144,35.3,36.6,35.3,63,51,0.0,2,47.51,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 09:00:00,1002.6,1003.6,1002.8,1002.5,3.8,5.6,176,165,3.7,154,34.7,34.9,34.7,67,65,0.0,3,47.63,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 09:00:00,1003.3,1003.9,1003.5,1003.3,2.8,4.6,190,211,1.2,210,35.3,35.7,35.0,65,61,0.0,1,48.59,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 09:00:00,1001.8,1004.8,1001.9,1001.6,5.4,9.1,71,70,4.3,65,25.6,25.9,25.6,100,100,0.0,3,27.14,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 09:00:00,1002.7,1004.9,1002.8,1002.4,5.1,8.5,42,40,5.5,34,25.8,26.5,25.8,97,97,0.0,3,27.7,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 09:00:00,1002.1,1005.1,1002.2,1001.9,5.0,9.5,59,55,5.5,53,25.8,26.1,25.8,93,93,0.0,3,27.61,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
54715,2022-08-08 09:00:00,1003.1,1005.3,1003.2,1002.9,6.6,10.4,63,60,4.5,63,25.9,26.1,25.7,89,89,0.0,3,27.75,陵城,中国,山东省,临沂市,兰陵县,54715,37.3167,116.5167,17.6
54716,2022-08-08 09:00:00,1004.0,1006.1,1004.0,1003.6,4.7,8.1,53,63,4.4,60,25.6,26.1,25.6,80,80,0.0,3,26.3,宁津,中国,山东省,德州市,宁津县,54716,37.6667,116.8,17.3
54722,2022-08-08 09:00:00,1005.1,1006.0,1005.3,1004.9,5.6,10.0,56,62,4.2,58,25.9,26.2,25.9,85,85,0.0,3,27.63,无棣,中国,山东省,滨州市,无棣县,54722,37.75,117.6333,6.8
54723,2022-08-08 09:00:00,1004.9,1006.2,1005.1,1004.7,4.2,8.0,66,69,3.0,69,26.0,26.2,25.9,81,80,0.0,3,27.7,阳信,中国,山东省,滨州市,阳信县,54723,37.65,117.5667,10.1
54724,2022-08-08 09:00:00,1003.5,1005.3,1003.7,1003.5,3.8,6.7,36,64,2.9,47,25.9,26.1,25.7,91,91,0.0,2,27.82,商河,中国,山东省,济南市,商河县,54724,37.3167,117.1333,14.8
54725,2022-08-08 09:00:00,1004.4,1005.9,1004.5,1004.3,3.9,6.6,60,67,2.8,55,26.0,26.0,25.9,92,92,0.0,2,28.11,惠民,中国,山东省,滨州市,惠民县,54725,37.5,117.5333,11.7
54726,2022-08-08 09:00:00,1004.6,1006.1,1004.7,1004.5,3.7,6.5,84,81,3.6,69,26.0,26.4,26.0,87,86,0.0,3,27.93,乐陵,中国,山东省,德州市,乐陵市,54726,37.7,117.1833,11.5
54727,2022-08-08 09:00:00,974.6,1004.2,974.6,974.3,4.5,6.5,72,63,4.4,70,27.5,28.2,27.5,93,89,0.0,3,33.12,章丘,中国,山东省,济南市,章丘区,54727,36.65,117.5167,263.0
54728,2022-08-08 09:00:00,1004.8,1006.1,1004.9,1004.7,3.8,7.4,59,70,2.9,74,25.8,26.0,25.8,80,80,0.0,2,26.52,庆云,中国,山东省,德州市,庆云县,54728,37.7667,117.35,10.5
54729,2022-08-08 09:00:00,1004.0,1005.5,1004.1,1003.7,3.9,7.9,67,64,3.4,65,25.7,26.3,25.7,94,94,0.8,3,27.36,高青,中国,山东省,淄博市,高青县,54729,37.1667,117.8667,11.5
54734,2022-08-08 09:00:00,1003.6,1005.8,1003.6,1003.3,4.9,9.6,42,70,5.2,67,25.6,25.7,25.6,85,85,0.0,3,26.44,滨州,中国,山东省,滨州市,滨城区,54734,37.35,118.0333,17.8
54736,2022-08-08 09:00:00,1005.1,1005.9,1005.1,1004.9,2.9,6.5,51,37,2.5,44,25.2,25.2,24.9,85,85,0.7,2,26.0,东营,中国,山东省,东营市,东营区,54736,37.4333,118.6667,6.0
