Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 23:00:00,999.0,1003.9,999.0,998.8,2.7,4.7,326,330,2.4,335,27.8,28.8,27.8,99,99,0.0,2,35.42,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 23:00:00,999.6,1003.6,999.7,999.4,2.5,4.5,200,220,1.5,189,30.8,30.8,29.8,77,77,0.0,1,39.22,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 23:00:00,999.8,1003.6,1000.0,999.7,2.1,3.5,191,180,1.8,195,30.3,30.3,29.6,86,86,0.0,2,40.51,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 23:00:00,999.3,1004.2,999.3,999.0,2.7,4.7,340,335,2.9,357,28.2,28.2,27.9,97,97,0.0,2,36.34,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 23:00:00,999.6,1003.8,999.7,999.5,1.6,2.6,291,5,1.9,317,29.3,29.4,29.1,100,100,0.0,1,41.41,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 23:00:00,1000.9,1003.9,1001.0,1000.9,2.4,3.7,206,207,2.2,206,31.0,31.0,29.7,77,76,0.0,2,39.84,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 23:00:00,999.0,1003.7,999.1,998.9,1.4,2.8,231,275,1.4,248,31.6,31.6,31.2,72,72,0.0,1,39.94,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 23:00:00,1000.6,1004.0,1000.8,1000.6,1.4,2.5,176,163,0.8,173,30.9,30.9,29.4,88,87,0.0,1,43.48,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 23:00:00,1000.3,1004.1,1000.5,1000.3,2.3,4.1,184,169,1.8,184,30.4,30.4,29.9,92,92,0.0,2,43.01,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 23:00:00,1003.2,1004.5,1003.4,1003.1,1.6,2.6,206,202,0.5,208,30.2,30.2,29.4,81,81,0.0,1,38.59,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 23:00:00,1003.4,1004.1,1003.4,1003.2,2.6,5.1,234,203,1.8,188,31.3,31.4,30.9,85,84,0.0,2,43.84,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 23:00:00,1001.1,1004.2,1001.1,1000.9,5.2,7.0,225,222,5.1,220,32.5,32.6,32.0,63,63,0.0,3,39.29,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 23:00:00,1003.7,1004.4,1003.8,1003.7,1.3,2.2,225,223,1.4,241,30.2,30.2,29.2,83,82,0.0,1,39.2,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 23:00:00,1004.1,1004.8,1004.1,1004.0,2.0,3.7,188,185,1.2,199,29.9,29.9,29.6,81,80,0.0,1,37.64,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 23:00:00,1003.8,1004.5,1003.8,1003.7,2.3,3.6,193,196,1.9,199,30.9,30.9,30.2,68,68,0.0,2,36.75,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 23:00:00,1003.6,1004.6,1003.7,1003.5,2.9,4.8,193,191,2.4,189,30.2,30.2,29.9,82,80,0.0,2,38.89,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 23:00:00,1004.5,1005.1,1004.5,1004.4,2.6,4.7,185,194,1.6,192,30.0,30.0,29.6,78,78,0.0,2,37.11,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 23:00:00,1004.0,1007.0,1004.0,1003.2,3.5,6.6,360,9,2.5,12,20.0,20.2,20.0,100,100,0.0,2,20.67,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 23:00:00,1004.0,1006.3,1004.0,1003.4,5.2,8.5,20,16,4.2,26,22.0,22.0,21.8,100,100,0.3,3,22.87,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 23:00:00,1003.9,1007.0,1003.9,1003.2,4.2,7.6,34,33,2.5,32,20.8,20.8,20.5,93,93,0.0,2,21.36,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
54715,2022-08-08 23:00:00,1004.7,1006.9,1004.7,1004.1,5.1,9.2,38,39,3.3,36,21.2,21.3,21.1,93,92,0.1,3,21.8,陵城,中国,山东省,临沂市,兰陵县,54715,37.3167,116.5167,17.6
54716,2022-08-08 23:00:00,1005.0,1007.1,1005.0,1004.4,2.7,4.4,53,70,1.4,60,21.2,21.2,20.8,89,89,0.0,1,21.7,宁津,中国,山东省,德州市,宁津县,54716,37.6667,116.8,17.3
54722,2022-08-08 23:00:00,1006.3,1007.2,1006.5,1006.2,7.7,13.1,56,64,5.4,62,19.4,20.7,19.4,100,98,1.4,3,20.01,无棣,中国,山东省,滨州市,无棣县,54722,37.75,117.6333,6.8
54723,2022-08-08 23:00:00,1006.0,1007.3,1006.1,1005.7,6.3,13.6,60,55,7.4,54,19.6,21.1,19.6,87,87,1.0,4,19.89,阳信,中国,山东省,滨州市,阳信县,54723,37.65,117.5667,10.1
54724,2022-08-08 23:00:00,1004.9,1006.8,1004.9,1004.3,7.3,12.3,38,40,6.0,35,21.0,22.1,21.0,94,94,0.9,4,21.61,商河,中国,山东省,济南市,商河县,54724,37.3167,117.1333,14.8
54725,2022-08-08 23:00:00,1005.3,1006.8,1005.5,1004.9,5.7,10.8,32,31,6.3,28,20.0,21.5,20.0,100,100,1.1,3,20.67,惠民,中国,山东省,滨州市,惠民县,54725,37.5,117.5333,11.7
54726,2022-08-08 23:00:00,1005.7,1007.2,1005.7,1005.2,5.0,9.8,93,78,3.9,79,21.4,21.7,21.3,100,98,0.0,3,22.21,乐陵,中国,山东省,德州市,乐陵市,54726,37.7,117.1833,11.5
54727,2022-08-08 23:00:00,975.1,1005.0,975.1,974.6,2.7,3.7,309,322,2.1,312,23.7,24.4,23.6,99,99,4.7,2,24.71,章丘,中国,山东省,济南市,章丘区,54727,36.65,117.5167,263.0
54728,2022-08-08 23:00:00,1005.9,1007.3,1005.9,1005.5,4.2,8.7,93,78,2.5,64,20.3,21.0,20.3,91,90,0.0,2,20.76,庆云,中国,山东省,德州市,庆云县,54728,37.7667,117.35,10.5
54729,2022-08-08 23:00:00,1004.9,1006.4,1004.9,1003.8,3.7,6.7,353,352,3.7,360,22.8,23.9,22.8,96,96,17.4,3,23.64,高青,中国,山东省,淄博市,高青县,54729,37.1667,117.8667,11.5
54734,2022-08-08 23:00:00,1004.0,1006.2,1004.2,1002.5,5.7,8.8,23,24,5.1,15,22.3,23.6,22.3,95,94,11.0,3,23.07,滨州,中国,山东省,滨州市,滨城区,54734,37.35,118.0333,17.8
54736,2022-08-08 23:00:00,1004.5,1005.3,1004.5,1003.7,4.6,10.1,44,50,4.5,46,23.6,24.4,23.6,92,91,0.5,3,24.42,东营,中国,山东省,东营市,东营区,54736,37.4333,118.6667,6.0
54744,2022-08-08 23:00:00,1004.3,1005.4,1004.3,1004.0,6.0,12.0,51,63,4.2,51,22.5,23.4,22.5,86,84,0.6,3,23.05,垦利,中国,山东省,东营市,垦利区,54744,37.5833,118.55,8.5
54749,2022-08-08 23:00:00,998.6,1004.3,998.7,998.2,3.0,5.5,101,86,1.9,105,25.8,26.2,25.8,94,92,7.3,2,27.63,莱州,中国,山东省,烟台市,莱州市,54749,37.1833,119.95,48.4
54751,2022-08-08 23:00:00,1000.9,1005.6,1000.9,1000.5,5.9,9.1,79,85,4.6,85,24.1,24.4,23.9,97,97,0.0,3,25.1,长岛,中国,山东省,烟台市,长岛县,54751,37.9392,120.7256,39.7
54752,2022-08-08 23:00:00,998.6,1005.7,998.8,998.5,4.1,6.8,88,89,4.2,86,23.7,23.9,23.4,96,96,0.0,3,24.63,蓬莱,中国,山东省,烟台市,蓬莱市,54752,37.8,120.7667,60.7
54753,2022-08-08 23:00:00,1005.8,1006.5,1005.8,1004.6,3.8,6.5,79,8,1.9,86,23.7,23.8,23.7,100,100,4.9,2,24.74,龙口,中国,山东省,烟台市,龙口市,54753,37.6333,120.3333,4.8
54755,2022-08-08 23:00:00,991.7,1005.3,991.8,991.7,3.0,5.0,74,57,2.0,67,23.9,24.2,23.9,96,95,0.1,2,24.85,招远,中国,山东省,烟台市,招远市,54755,37.3283,120.3869,117.8
54759,2022-08-08 23:00:00,982.3,1005.9,982.5,982.1,5.7,8.9,52,52,5.5,52,22.8,23.0,22.8,100,100,4.3,3,23.75,栖霞,中国,山东省,烟台市,栖霞市,54759,37.3247,120.8519,205.5
54764,2022-08-08 23:00:00,1000.0,1006.3,1000.2,999.5,3.6,6.4,49,112,2.5,50,23.6,23.9,23.6,94,93,6.2,2,24.47,福山,中国,山东省,烟台市,福山区,54764,37.4833,121.2333,53.9
