Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 20:00:00,997.9,1002.7,998.2,997.9,2.5,4.0,278,270,0.7,296,30.2,31.7,30.2,99,77,0.0,1,44.84,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 20:00:00,998.9,1002.9,999.4,998.9,0.8,1.1,214,154,0.8,186,29.4,29.9,29.3,88,85,0.0,1,38.01,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 20:00:00,999.2,1003.0,999.6,999.2,1.3,1.8,166,196,1.3,182,29.8,30.0,29.8,91,91,0.0,1,40.37,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 20:00:00,998.2,1003.0,998.6,998.2,1.8,2.9,283,245,1.5,277,29.3,29.3,28.8,98,97,0.0,2,40.75,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 20:00:00,998.7,1002.9,999.1,998.6,2.1,4.0,186,198,1.4,192,31.0,31.6,31.0,81,77,0.0,2,41.23,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 20:00:00,1000.3,1003.3,1000.6,1000.3,0.8,1.6,180,163,0.6,160,29.7,30.3,29.7,95,95,0.0,1,41.33,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 20:00:00,998.4,1003.1,998.9,998.4,2.4,4.9,169,168,1.6,177,31.6,31.9,31.6,76,75,0.0,2,41.39,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 20:00:00,1000.1,1003.5,1000.4,1000.1,1.3,2.3,179,157,0.4,166,29.7,30.3,29.7,92,88,0.0,0,40.33,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 20:00:00,999.8,1003.6,999.9,999.8,1.5,2.1,169,190,1.0,154,29.8,30.6,29.8,92,85,0.0,1,40.7,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 20:00:00,1002.6,1003.9,1002.8,1002.6,1.7,3.1,192,209,1.2,184,30.2,30.7,30.2,86,82,0.0,1,40.16,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 20:00:00,1002.7,1003.4,1002.8,1002.6,2.0,3.6,174,181,2.0,177,31.9,32.1,31.9,78,78,0.0,1,43.18,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 20:00:00,1000.3,1003.4,1000.5,1000.2,7.5,9.7,199,203,6.5,197,32.2,32.6,32.2,71,67,0.0,4,41.38,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 20:00:00,1003.0,1003.7,1003.3,1003.0,1.2,1.7,101,999017,0.0,90,30.2,30.6,30.2,87,85,0.0,0,40.49,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 20:00:00,1003.4,1004.1,1003.6,1003.3,2.5,5.1,172,174,3.2,182,30.1,30.5,30.1,81,79,0.0,2,38.27,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 20:00:00,1003.1,1003.8,1003.3,1003.1,2.7,4.3,187,201,2.6,190,30.8,31.2,30.8,76,76,0.0,2,38.89,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 20:00:00,1003.0,1004.0,1003.2,1002.9,2.9,4.5,185,181,2.4,186,30.2,30.7,30.2,85,84,0.0,2,39.83,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 20:00:00,1003.8,1004.4,1004.0,1003.8,1.9,4.5,172,176,1.3,183,30.2,30.7,30.2,76,75,0.0,1,37.13,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 20:00:00,1002.9,1005.9,1002.9,1002.8,5.6,9.2,77,43,4.8,42,20.9,21.3,20.9,100,100,0.1,3,21.66,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 20:00:00,1002.9,1005.2,1003.1,1002.9,4.6,7.3,332,1,3.7,356,21.7,22.2,21.7,100,100,1.1,3,22.54,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 20:00:00,1002.7,1005.8,1002.9,1002.7,4.6,9.0,48,38,3.5,32,20.8,21.4,20.8,100,100,0.2,3,21.55,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
54715,2022-08-08 20:00:00,1003.5,1005.7,1003.7,1003.5,4.3,8.3,35,33,3.3,23,21.3,21.9,21.3,95,95,0.3,3,21.97,陵城,中国,山东省,临沂市,兰陵县,54715,37.3167,116.5167,17.6
54716,2022-08-08 20:00:00,1003.9,1006.0,1004.3,1003.8,3.3,7.0,343,359,2.3,18,20.9,20.9,20.6,97,97,5.4,2,21.58,宁津,中国,山东省,德州市,宁津县,54716,37.6667,116.8,17.3
54722,2022-08-08 20:00:00,1004.4,1005.3,1004.4,1003.8,4.5,7.2,59,335,3.3,61,22.6,22.6,22.2,100,100,8.1,2,23.53,无棣,中国,山东省,滨州市,无棣县,54722,37.75,117.6333,6.8
54723,2022-08-08 20:00:00,1004.3,1005.6,1004.3,1003.5,3.4,6.7,66,337,2.6,68,22.3,22.3,22.1,95,95,3.2,2,23.07,阳信,中国,山东省,滨州市,阳信县,54723,37.65,117.5667,10.1
54724,2022-08-08 20:00:00,1003.5,1005.3,1003.8,1002.7,3.3,5.7,328,342,2.2,59,21.7,22.1,21.7,98,97,14.2,2,22.48,商河,中国,山东省,济南市,商河县,54724,37.3167,117.1333,14.8
54725,2022-08-08 20:00:00,1003.5,1005.0,1003.5,1003.0,3.0,6.5,52,10,1.8,51,22.3,22.3,22.2,100,100,2.4,2,23.2,惠民,中国,山东省,滨州市,惠民县,54725,37.5,117.5333,11.7
54726,2022-08-08 20:00:00,1004.4,1005.9,1004.6,1004.0,3.7,7.0,352,7,3.8,14,21.7,22.0,21.7,100,100,8.5,3,22.54,乐陵,中国,山东省,德州市,乐陵市,54726,37.7,117.1833,11.5
