Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 14:00:00,999.2,1004.0,999.2,998.9,1.3,2.1,194,143,1.1,142,32.1,32.1,31.1,82,82,0.0,1,45.62,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 14:00:00,1000.3,1004.3,1000.5,999.9,1.3,1.9,132,124,1.2,128,32.0,32.0,31.5,77,77,0.0,1,43.12,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 14:00:00,1000.5,1004.3,1000.6,1000.2,1.6,2.5,124,130,1.4,135,31.2,31.4,31.1,84,80,0.0,1,43.07,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 14:00:00,999.8,1004.6,999.8,999.5,1.5,1.7,85,101,0.4,79,30.7,30.9,30.7,98,96,0.0,1,46.67,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 14:00:00,1000.5,1004.7,1000.6,1000.1,1.5,2.6,136,999017,0.1,120,31.7,33.6,31.7,82,67,0.0,1,44.11,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 14:00:00,1002.0,1005.0,1002.0,1001.7,0.8,1.2,144,999017,0.1,153,31.3,32.1,31.3,91,78,0.0,0,46.36,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 14:00:00,999.8,1004.5,999.9,999.5,1.2,2.4,147,181,0.4,184,33.6,34.1,33.3,64,62,0.0,1,42.73,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 14:00:00,1001.7,1005.1,1001.7,1001.3,1.0,1.9,136,148,0.7,143,31.7,32.2,31.3,83,83,0.0,1,44.53,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 14:00:00,1001.4,1005.2,1001.4,1001.0,1.4,2.7,161,172,0.4,160,31.9,32.4,31.9,83,80,0.0,1,45.29,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 14:00:00,1004.1,1005.4,1004.1,1003.7,1.2,2.6,129,135,1.3,142,31.9,32.4,31.9,75,72,0.0,1,41.98,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 14:00:00,1004.3,1005.0,1004.4,1004.2,2.3,4.6,177,176,0.5,166,33.4,33.5,32.8,74,73,0.0,2,46.66,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 14:00:00,1002.1,1005.2,1002.3,1001.9,4.1,6.2,173,194,1.5,172,33.0,33.4,33.0,74,72,0.0,1,45.25,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 14:00:00,1004.5,1005.2,1004.7,1004.3,1.8,3.0,153,153,1.2,154,31.8,32.4,31.8,85,81,0.0,1,45.78,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 14:00:00,1004.9,1005.6,1005.0,1004.5,1.3,2.0,154,999017,0.0,149,32.2,32.3,32.1,79,78,0.0,1,44.66,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 14:00:00,1004.6,1005.3,1004.7,1004.4,1.7,2.6,143,143,1.5,148,32.8,33.0,32.8,77,76,0.0,1,45.93,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 14:00:00,1004.4,1005.4,1004.5,1004.1,2.2,2.9,149,153,1.8,143,32.7,32.9,32.6,81,81,0.0,2,47.47,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
