Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 19:00:00,998.1,1002.9,998.1,998.0,2.3,3.6,166,180,2.3,165,31.6,32.1,31.6,78,75,0.0,2,42.15,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 19:00:00,999.4,1003.4,999.4,999.2,0.8,1.3,177,164,0.4,195,29.8,30.1,29.8,85,84,0.0,1,38.46,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 19:00:00,999.6,1003.4,999.6,999.4,1.3,1.9,194,178,1.4,184,30.0,30.1,30.0,93,93,0.0,1,41.81,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 19:00:00,998.6,1003.4,998.6,998.5,0.7,1.0,184,172,0.3,185,29.0,29.2,29.0,100,100,0.0,1,40.2,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 19:00:00,999.1,1003.3,999.1,999.1,2.3,4.5,184,198,1.9,183,31.7,31.8,31.6,77,76,0.0,2,42.1,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 19:00:00,1000.7,1003.7,1000.7,1000.5,1.3,2.4,169,999017,0.1,178,30.3,30.4,30.0,95,95,0.0,1,43.73,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 19:00:00,998.9,1003.6,998.9,998.7,2.0,5.2,197,189,1.5,193,31.9,32.2,31.9,75,72,0.0,2,41.98,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 19:00:00,1000.4,1003.8,1000.5,1000.3,1.4,2.8,156,166,1.2,152,30.3,30.5,30.3,88,87,0.0,1,41.2,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 19:00:00,999.9,1003.7,1000.2,999.9,1.6,2.9,172,157,1.4,156,30.6,30.8,30.5,85,82,0.0,1,41.25,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 19:00:00,1002.8,1004.1,1002.9,1002.8,1.3,2.8,144,182,1.5,175,30.7,30.9,30.7,83,81,0.0,1,40.9,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 19:00:00,1002.7,1003.4,1003.3,1002.7,1.9,3.1,175,177,1.0,171,32.1,32.3,32.1,79,76,0.0,1,44.3,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 19:00:00,1000.5,1003.6,1001.0,1000.5,5.6,8.6,175,191,5.5,190,32.6,33.1,32.6,67,66,0.0,3,41.03,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 19:00:00,1003.2,1003.9,1003.4,1003.2,1.7,2.4,71,90,1.0,76,30.6,30.7,30.6,85,85,0.0,1,41.25,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
