Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 17:00:00,998.4,1003.2,998.6,998.4,1.7,3.1,158,153,2.0,146,31.5,31.9,31.4,86,84,0.0,2,45.03,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 17:00:00,999.7,1003.7,999.9,999.7,1.2,1.7,135,125,1.0,133,30.9,30.9,30.6,81,80,0.0,1,40.89,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 17:00:00,999.9,1003.7,1000.0,999.8,1.5,2.0,129,121,0.9,123,30.4,30.9,30.4,92,86,0.0,1,43.01,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 17:00:00,998.9,1003.7,999.2,998.9,0.4,0.7,147,999017,0.0,153,29.4,29.8,29.4,100,100,0.0,0,41.82,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 17:00:00,999.6,1003.8,999.9,999.6,1.5,2.6,189,174,1.4,178,32.4,32.4,31.9,74,74,0.0,1,43.22,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 17:00:00,1001.1,1004.1,1001.4,1001.1,0.5,0.9,126,119,0.5,119,30.7,31.0,30.7,95,94,0.0,1,45.43,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 17:00:00,999.1,1003.8,999.4,999.1,2.4,4.4,137,163,0.8,171,32.7,33.3,32.7,70,66,0.0,1,42.53,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 17:00:00,1000.9,1004.3,1001.2,1000.9,1.2,2.3,153,999017,0.2,137,30.7,31.1,30.7,87,84,0.0,1,42.33,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 17:00:00,1000.5,1004.3,1000.9,1000.5,1.8,3.5,164,162,1.5,153,31.1,31.5,31.1,82,79,0.0,1,41.95,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 17:00:00,1003.3,1004.6,1003.5,1003.2,1.2,2.1,162,137,0.7,129,31.2,31.6,31.2,80,78,0.0,1,41.55,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 17:00:00,1003.4,1004.1,1003.9,1003.4,1.4,2.6,194,185,0.9,193,32.4,32.6,32.4,80,78,0.0,1,45.85,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 17:00:00,1001.3,1004.4,1001.7,1001.3,3.0,5.8,184,192,2.9,190,32.9,33.0,32.2,65,64,0.0,2,41.12,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 17:00:00,1003.7,1004.4,1004.1,1003.7,1.5,2.2,78,66,1.1,57,31.1,31.2,31.1,85,85,0.0,1,43.09,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 17:00:00,1004.0,1004.7,1004.4,1004.0,1.7,3.7,156,154,1.5,151,31.5,31.8,31.5,80,79,0.0,1,42.59,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 17:00:00,1003.8,1004.5,1004.1,1003.8,1.1,1.9,99,100,1.0,103,31.6,32.1,31.6,80,80,0.0,1,42.94,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 17:00:00,1003.5,1004.5,1003.9,1003.5,2.8,4.1,152,153,2.6,149,31.8,32.1,31.8,87,85,0.0,2,46.68,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 17:00:00,1004.5,1005.1,1004.8,1004.5,1.8,4.6,198,178,1.4,177,31.7,32.1,31.6,74,71,0.0,2,40.97,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 17:00:00,1003.2,1006.2,1003.2,1002.8,2.9,5.0,11,360,3.9,20,22.6,22.9,22.6,100,100,0.1,2,23.53,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 17:00:00,1003.2,1005.5,1003.7,1003.2,3.8,6.2,14,23,2.9,14,22.6,23.2,22.6,100,100,5.8,3,23.53,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 17:00:00,1002.8,1005.9,1003.2,1002.8,3.9,6.8,34,46,3.9,43,22.1,22.6,22.1,100,100,0.5,3,22.98,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
54715,2022-08-08 17:00:00,1003.7,1005.9,1004.1,1003.7,3.8,6.5,36,44,3.0,41,22.0,22.4,22.0,96,95,2.1,2,22.76,陵城,中国,山东省,临沂市,兰陵县,54715,37.3167,116.5167,17.6
