Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 16:00:00,998.6,1003.4,998.7,998.5,2.1,3.5,158,154,0.9,155,31.9,32.4,31.9,84,81,0.0,1,45.73,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 16:00:00,999.9,1003.9,1000.2,999.8,1.2,1.8,104,183,0.7,124,30.9,31.1,30.7,83,81,0.0,1,41.61,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 16:00:00,1000.0,1003.8,1000.4,1000.0,1.5,2.1,132,131,1.2,123,30.9,31.0,30.7,85,85,0.0,1,42.34,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 16:00:00,999.2,1004.0,999.2,999.1,0.8,1.1,97,999017,0.1,80,29.8,30.4,29.8,100,99,0.0,0,43.5,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 16:00:00,999.8,1004.0,1000.0,999.7,2.5,3.8,132,115,1.0,128,32.4,32.9,32.4,80,76,0.0,1,45.85,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 16:00:00,1001.4,1004.4,1001.7,1001.4,1.0,1.4,150,129,0.6,139,31.0,31.4,31.0,94,87,0.0,1,46.35,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 16:00:00,999.3,1004.0,999.8,999.3,2.0,3.5,120,151,1.1,131,33.2,33.6,33.2,67,62,0.0,1,42.81,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 16:00:00,1001.2,1004.6,1001.6,1001.1,1.2,2.1,165,126,0.8,142,31.1,31.3,31.1,85,83,0.0,1,43.09,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 16:00:00,1000.9,1004.7,1001.3,1000.9,2.0,3.5,154,157,1.7,156,31.5,31.6,31.4,80,79,0.0,2,42.59,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 16:00:00,1003.5,1004.8,1003.9,1003.5,1.2,1.9,133,135,1.0,125,31.6,31.7,31.5,78,78,0.0,1,42.15,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
58040,2022-08-08 16:00:00,1003.9,1004.6,1004.3,1003.9,2.0,3.9,179,193,1.0,185,32.6,33.0,32.6,78,75,0.0,1,45.67,赣榆,中国,江苏省,连云港市,赣榆区,58040,34.8564,119.1269,5.3
58041,2022-08-08 16:00:00,1001.7,1004.8,1002.3,1001.7,2.0,2.7,146,143,1.1,135,32.2,32.7,32.1,78,70,0.0,1,44.23,西连岛,中国,江苏省,连云港市,连云区,58041,34.7778,119.4425,26.2
58044,2022-08-08 16:00:00,1004.1,1004.8,1004.6,1004.1,1.2,1.7,72,72,1.3,75,31.2,31.7,31.2,87,85,0.0,1,44.26,连云港,中国,江苏省,连云港市,市辖区,58044,34.5489,119.2347,4.7
58045,2022-08-08 16:00:00,1004.3,1005.0,1004.7,1004.3,1.2,2.6,136,141,1.6,145,31.8,31.9,31.7,80,80,0.0,1,43.65,响水,中国,江苏省,盐城市,响水县,58045,34.1142,119.3606,4.4
58047,2022-08-08 16:00:00,1004.1,1004.8,1004.5,1004.1,1.2,2.0,137,114,0.8,154,32.1,32.6,32.1,80,75,0.0,1,44.73,灌云,中国,江苏省,连云港市,灌云县,58047,34.2575,119.2361,4.8
58048,2022-08-08 16:00:00,1003.9,1004.9,1004.2,1003.9,2.0,2.7,139,144,2.0,149,32.1,32.4,32.1,86,83,0.0,2,47.46,灌南,中国,江苏省,连云港市,灌南县,58048,34.0639,119.2928,8.0
58049,2022-08-08 16:00:00,1004.8,1005.4,1005.0,1004.8,1.6,4.5,175,189,1.1,148,32.0,32.6,32.0,73,72,0.0,1,41.53,滨海,中国,江苏省,盐城市,滨海县,58049,34.0164,119.8031,4.1
54709,2022-08-08 16:00:00,1003.1,1006.1,1003.2,1003.0,2.9,4.9,9,22,2.6,11,22.9,23.2,22.9,100,100,0.1,2,23.86,武城,中国,山东省,德州市,武城县,54709,37.2333,116.0667,24.8
54712,2022-08-08 16:00:00,1003.5,1005.8,1004.7,1003.4,3.1,4.3,8,20,2.9,29,23.2,23.5,23.2,100,100,1.8,2,24.19,临邑,中国,山东省,德州市,临邑县,54712,37.2,116.8167,18.5
54714,2022-08-08 16:00:00,1003.2,1006.3,1003.2,1003.0,2.9,4.8,39,36,2.0,46,22.6,22.8,22.6,100,100,2.1,2,23.53,德州,中国,山东省,德州市,德城区,54714,37.35,116.3333,25.4
54715,2022-08-08 16:00:00,1004.0,1006.2,1004.1,1003.8,3.9,6.0,57,51,3.6,58,22.4,22.8,22.4,95,95,1.5,2,23.18,陵城,中国,山东省,临沂市,兰陵县,54715,37.3167,116.5167,17.6
54716,2022-08-08 16:00:00,1005.0,1007.1,1005.8,1004.4,4.3,7.6,53,3,2.2,58,21.4,21.9,21.4,97,96,76.1,3,22.13,宁津,中国,山东省,德州市,宁津县,54716,37.6667,116.8,17.3
54722,2022-08-08 16:00:00,1005.9,1006.8,1006.3,1005.3,2.4,4.4,7,13,2.7,66,22.6,24.6,22.6,100,87,22.5,2,23.53,无棣,中国,山东省,滨州市,无棣县,54722,37.75,117.6333,6.8
54723,2022-08-08 16:00:00,1005.8,1007.1,1005.9,1005.2,2.9,5.7,68,23,2.2,83,22.5,24.8,22.5,91,77,5.0,2,23.18,阳信,中国,山东省,滨州市,阳信县,54723,37.65,117.5667,10.1
54724,2022-08-08 16:00:00,1004.4,1006.2,1005.2,1004.1,1.9,3.5,95,26,1.9,21,23.3,23.8,23.3,96,91,2.8,2,24.19,商河,中国,山东省,济南市,商河县,54724,37.3167,117.1333,14.8
54725,2022-08-08 16:00:00,1004.8,1006.3,1005.0,1004.6,2.8,5.5,83,32,1.8,79,23.3,24.0,23.3,96,88,0.3,2,24.19,惠民,中国,山东省,滨州市,惠民县,54725,37.5,117.5333,11.7
54726,2022-08-08 16:00:00,1004.9,1006.4,1005.6,1004.8,3.4,6.3,70,55,2.3,63,22.1,23.4,22.1,100,100,16.7,2,22.98,乐陵,中国,山东省,德州市,乐陵市,54726,37.7,117.1833,11.5
54727,2022-08-08 16:00:00,975.5,1005.3,976.3,975.2,3.6,5.1,175,195,0.5,168,25.1,25.5,25.0,94,88,2.4,1,26.12,章丘,中国,山东省,济南市,章丘区,54727,36.65,117.5167,263.0
54728,2022-08-08 16:00:00,1005.0,1006.4,1006.3,1005.0,3.0,6.4,56,69,2.8,70,22.2,23.9,22.2,99,87,24.1,2,23.06,庆云,中国,山东省,德州市,庆云县,54728,37.7667,117.35,10.5
54729,2022-08-08 16:00:00,1004.3,1005.8,1004.7,1004.3,2.0,3.6,50,66,1.8,95,24.1,24.1,24.0,90,88,0.0,2,24.92,高青,中国,山东省,淄博市,高青县,54729,37.1667,117.8667,11.5
54734,2022-08-08 16:00:00,1003.8,1006.0,1004.2,1003.8,2.6,4.4,90,68,1.7,70,23.9,23.9,23.8,91,89,0.0,1,24.72,滨州,中国,山东省,滨州市,滨城区,54734,37.35,118.0333,17.8
54736,2022-08-08 16:00:00,1005.2,1006.0,1005.7,1005.2,2.1,4.0,56,71,1.6,81,25.5,25.5,25.2,90,89,0.0,2,26.46,东营,中国,山东省,东营市,东营区,54736,37.4333,118.6667,6.0
54744,2022-08-08 16:00:00,1005.0,1006.1,1005.6,1005.0,2.5,3.9,54,82,2.1,71,24.1,24.1,23.9,90,89,0.0,2,24.92,垦利,中国,山东省,东营市,垦利区,54744,37.5833,118.55,8.5
54749,2022-08-08 16:00:00,999.7,1005.3,1000.1,999.7,2.3,3.9,94,97,1.9,85,27.5,27.6,27.5,84,83,0.0,2,31.39,莱州,中国,山东省,烟台市,莱州市,54749,37.1833,119.95,48.4
54751,2022-08-08 16:00:00,1001.9,1006.6,1001.9,1001.7,2.4,4.5,71,73,1.4,84,25.8,25.9,25.8,99,95,0.1,1,27.75,长岛,中国,山东省,烟台市,长岛县,54751,37.9392,120.7256,39.7
54752,2022-08-08 16:00:00,999.5,1006.6,999.5,999.4,2.2,3.6,92,92,1.2,90,25.8,25.8,25.7,92,91,0.0,2,27.58,蓬莱,中国,山东省,烟台市,蓬莱市,54752,37.8,120.7667,60.7
54753,2022-08-08 16:00:00,1005.7,1006.4,1005.9,1005.6,2.8,4.5,76,50,2.1,68,25.3,25.4,25.3,100,100,0.6,2,26.5,龙口,中国,山东省,烟台市,龙口市,54753,37.6333,120.3333,4.8
54755,2022-08-08 16:00:00,992.7,1006.3,993.0,992.6,1.5,2.2,43,236,0.8,41,25.7,25.7,25.7,94,94,0.0,1,27.36,招远,中国,山东省,烟台市,招远市,54755,37.3283,120.3869,117.8
54759,2022-08-08 16:00:00,982.7,1006.2,983.3,982.7,3.2,4.7,60,60,2.5,54,24.7,24.8,24.7,100,100,0.1,2,25.84,栖霞,中国,山东省,烟台市,栖霞市,54759,37.3247,120.8519,205.5
