Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 02:00:00,998.5,1003.3,998.5,997.9,3.8,5.5,205,209,3.6,211,32.7,32.7,31.7,65,65,0.0,3,40.56,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 02:00:00,999.6,1003.6,999.7,999.2,4.0,6.6,177,181,3.6,192,34.5,34.6,33.7,60,60,0.0,2,43.59,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 02:00:00,999.8,1003.6,999.9,999.4,3.9,6.4,203,185,3.6,189,34.8,34.9,33.7,60,60,0.0,3,44.46,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 02:00:00,998.9,1003.7,998.9,998.5,3.8,6.2,188,202,3.2,204,33.4,33.4,32.1,72,70,0.0,3,45.7,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 02:00:00,999.6,1003.8,999.6,999.1,2.8,5.4,210,202,2.6,218,33.3,33.3,32.3,64,64,0.0,2,41.86,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 02:00:00,1001.0,1004.0,1001.0,1000.8,3.2,5.1,208,207,3.2,204,35.2,35.2,34.1,56,56,0.0,2,43.74,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 02:00:00,999.1,1003.8,999.1,998.7,2.1,5.7,274,263,2.2,195,34.8,34.8,33.6,57,54,0.0,2,43.09,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 02:00:00,1000.8,1004.2,1000.9,1000.7,2.9,5.5,217,188,2.5,210,34.9,34.9,33.7,60,59,0.0,2,44.75,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 02:00:00,1000.7,1004.5,1000.7,1000.4,2.6,4.5,200,157,2.0,172,33.5,33.6,32.8,72,71,0.0,2,46.04,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 02:00:00,1003.5,1004.8,1003.5,1003.3,3.0,4.7,197,205,2.8,206,34.1,34.1,32.7,70,69,0.0,2,47.13,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
