Station_Id_C,dt,PRS,PRS_Sea,PRS_Max,PRS_Min,WIN_S_Max,WIN_S_Inst_Max,WIN_D_INST_Max,WIN_D_Avg_2mi,WIN_S_Avg_2mi,WIN_D_S_Max,TEM,TEM_Max,TEM_Min,RHU,RHU_Min,PRE_1h,windpower,tigan,Station_Name,Country,Province,City,Cnty,Station_Id_d,Lat,Lon,Alti
58015,2022-08-08 21:00:00,998.1,1003.0,998.1,997.8,1.8,2.7,357,13,1.5,305,29.1,30.2,29.1,99,99,0.0,2,40.28,砀山,中国,安徽省,宿州市,砀山县,58015,34.4389,116.3397,42.1
58016,2022-08-08 21:00:00,999.1,1003.1,999.1,998.8,0.9,1.3,242,242,0.6,152,29.3,29.6,29.1,86,85,0.0,1,37.1,萧县,中国,安徽省,宿州市,萧县,58016,34.1803,116.9628,34.9
58116,2022-08-08 21:00:00,999.3,1003.1,999.3,999.1,1.6,2.7,194,193,1.2,180,29.7,29.8,29.7,87,87,0.0,1,38.74,淮北,中国,安徽省,淮北市,杜集区,58116,34.0333,116.8689,32.9
58012,2022-08-08 21:00:00,998.6,1003.4,998.6,998.2,1.6,2.3,234,337,0.7,245,29.0,29.4,28.9,100,97,0.0,1,40.2,丰县,中国,江苏省,徐州市,丰县,58012,34.6719,116.6561,42.0
58013,2022-08-08 21:00:00,999.2,1003.4,999.2,998.7,1.6,3.9,312,999017,0.2,192,29.7,31.0,29.7,97,80,0.0,1,42.02,沛县,中国,江苏省,徐州市,沛县,58013,34.7533,116.9058,36.5
58026,2022-08-08 21:00:00,1000.5,1003.5,1000.5,1000.3,0.6,1.0,164,145,0.4,154,29.0,29.7,29.0,95,95,0.0,1,38.67,邳州,中国,江苏省,徐州市,邳州市,58026,34.3942,118.0189,25.7
58027,2022-08-08 21:00:00,998.6,1003.3,998.6,998.2,1.7,3.3,165,192,0.8,179,31.2,31.6,31.2,75,73,0.0,1,39.78,徐州,中国,江苏省,徐州市,市辖区,58027,34.2872,117.1586,41.2
58035,2022-08-08 21:00:00,1000.4,1003.8,1000.4,1000.1,1.0,2.1,177,193,1.0,183,29.3,29.7,29.2,95,92,0.0,1,39.79,新沂,中国,江苏省,徐州市,新沂市,58035,34.3319,118.3536,29.3
58036,2022-08-08 21:00:00,1000.1,1003.9,1000.2,999.8,1.6,2.8,173,180,1.8,176,30.0,30.0,29.8,90,89,0.0,1,40.77,东海,中国,江苏省,连云港市,东海县,58036,34.5425,118.7136,32.9
58038,2022-08-08 21:00:00,1002.9,1004.2,1002.9,1002.6,1.4,3.1,202,218,1.0,200,29.8,30.2,29.8,87,86,0.0,1,39.08,沭阳,中国,江苏省,宿迁市,沭阳县,58038,34.0911,118.7836,10.4
